Source	Target	weight
Int-Tn	dnaC_2	1.4051e-16
Int-Tn	group_3053	1.04249e-16
Int-Tn	group_2872	1.93254e-12
Int-Tn	group_776	3.74786e-13
Int-Tn	group_1743	1.15806e-12
Int-Tn	group_4159	3.00348e-14
Int-Tn	group_3470	3.06101e-13
Int-Tn	group_484	6.24226e-10
Int-Tn	ssb_3	7.34308e-13
Int-Tn	group_3771	1.23116e-08
Int-Tn	group_5509	7.40757e-21
Int-Tn	group_3787	2.68912e-11
Int-Tn	group_5384	1.69113e-14
Int-Tn	group_4137	2.03677e-09
Int-Tn	group_3768	2.01889e-10
Int-Tn	group_6150	7.61165e-09
Int-Tn	group_1169	2.73913e-09
Int-Tn	group_4181	6.18447e-13
Int-Tn	group_4998	1.18001e-10
Int-Tn	group_6390	1.18001e-10
Int-Tn	group_4166	7.2317e-11
Int-Tn	group_5591	7.2317e-11
Int-Tn	group_5594	7.2317e-11
Int-Tn	group_6384	7.2317e-11
Int-Tn	group_6386	7.2317e-11
Int-Tn	group_6388	7.2317e-11
Int-Tn	group_6392	7.2317e-11
Int-Tn	group_6394	7.2317e-11
Int-Tn	group_6396	7.2317e-11
Int-Tn	group_6398	7.2317e-11
Int-Tn	group_6403	7.2317e-11
Int-Tn	group_6405	7.2317e-11
Int-Tn	group_4164	2.90897e-10
Int-Tn	group_4439	4.8052e-12
Int-Tn	group_5644	1.13138e-11
Int-Tn	group_5645	4.84308e-11
Int-Tn_1	iga_2	3.88558e-11
Int-Tn_1	group_3600	1.65477e-10
Int-Tn_1	group_1145	1.2173e-08
Int-Tn_1	group_3436	5.31645e-11
Int-Tn_1	haeIIIM	3.33617e-11
Int-Tn_1	rny	7.15886e-09
Int-Tn_1	group_45	2.09312e-10
Int-Tn_1	manP	2.09312e-10
Int-Tn_1	group_2162	8.12776e-13
Int-Tn_1	group_3437	3.82193e-11
Int-Tn_1	ptsN	1.03275e-10
Int-Tn_1	group_4884	1.03275e-10
Int-Tn_1	mngA	6.38821e-11
Int-Tn_1	group_1051	5.00989e-11
Int-Tn_1	alsE	3.92139e-11
Int-Tn_1	tkt_3	2.3885e-11
Int-Tn_1	group_1142	1.54421e-13
Int-Tn_1	pepE	3.03444e-12
Int-Tn_1	phnV_2	5.17073e-09
Int-Tn_1	acpA_2	5.91509e-13
Int-Tn_1	group_3356	1.43964e-10
Int-Tn_1	ywqC	5.03077e-10
Int-Tn_1	group_3418	1.20134e-15
Int-Tn_1	group_1439	1.75605e-13
Int-Tn_1	group_2789	7.10359e-20
Int-Tn_1	tcyC	5.07613e-10
Int-Tn_1	group_2984	8.67209e-11
Int-Tn_1	group_1231	1.85803e-10
Int-Tn_1	group_1195	1.16483e-08
Int-Tn_1	group_3354	6.52238e-10
Int-Tn_1	group_4073	2.52993e-15
Int-Tn_1	group_1399	4.66032e-13
Int-Tn_1	yheS_2	8.12883e-13
Int-Tn_1	group_3291	2.90277e-15
Int-Tn_1	group_4059	1.0525e-12
Int-Tn_1	group_5999	1.0525e-12
Int-Tn_1	group_5419	1.82798e-12
Int-Tn_1	group_6000	1.82798e-12
Int-Tn_1	group_4408	3.6972e-11
Int-Tn_1	group_4409	3.6972e-11
Int-Tn_1	group_5421	5.79462e-13
Int-Tn_1	group_1745	2.99463e-10
Int-Tn_1	group_2180	5.45567e-12
Int-Tn_1	group_2577	9.94933e-20
Int-Tn_1	group_5420	4.28261e-13
Int-Tn_1	group_587	1.37672e-10
Int-Tn_1	group_5893	9.94933e-20
Int-Tn_1	cpsD	4.66352e-09
Int-Tn_1	group_4825	1.03408e-10
Int-Tn_1	group_1314	8.17061e-10
Int-Tn_1	group_3703	8.98463e-19
Int-Tn_1	mnaA	3.79281e-10
Int-Tn_1	group_5093	5.28334e-13
Int-Tn_1	group_4407	2.91332e-10
Int-Tn_1	tagA	2.91332e-10
Int-Tn_1	ugd	3.01615e-15
Int-Tn_1	rmlA	2.86295e-10
Int-Tn_1	group_3317	1.51701e-13
Int-Tn_1	ftsH4	8.45066e-12
Int-Tn_1	group_1296	4.75929e-18
Int-Tn_1	group_2016	1.99916e-22
Int-Tn_1	manR	4.8535e-20
Int-Tn_1	group_634	6.20332e-16
Int-Tn_1	group_3065	4.97534e-14
Int-Tn_1	group_1118	1.40301e-14
Int-Tn_1	group_1219	1.47372e-15
Int-Tn_1	group_1258	5.28456e-20
Int-Tn_1	group_2769	6.35408e-25
Int-Tn_1	group_3726	5.47085e-12
Int-Tn_1	spsB_2	5.47085e-12
Int-Tn_1	group_239	1.68787e-12
Int-Tn_1	group_3295	5.18212e-12
Int-Tn_1	group_1225	6.38125e-15
Int-Tn_1	group_1077	1.15411e-12
Int-Tn_1	group_1374	4.4237e-16
Int-Tn_1	group_4066	1.48715e-11
Int-Tn_1	group_4450	2.13545e-21
Int-Tn_1	group_1340	5.00313e-16
Int-Tn_1	group_221	2.46478e-14
Int-Tn_1	group_2283	9.98315e-13
Int-Tn_1	group_3712	1.34963e-15
Int-Tn_1	group_4444	3.59739e-15
Int-Tn_1	yihX	8.63979e-23
Int-Tn_1	group_2542	4.40387e-19
Int-Tn_1	group_4196	5.16921e-13
Int-Tn_1	lolD	4.23102e-11
Int-Tn_1	malI	5.40172e-23
Int-Tn_1	group_450	9.82051e-11
Int-Tn_1	group_1727	4.38352e-16
Int-Tn_1	group_3058	4.38352e-16
Int-Tn_1	group_4871	3.36338e-23
Int-Tn_1	group_5423	3.36338e-23
Int-Tn_1	group_2046	1.36311e-17
Int-Tn_1	group_3896	3.22437e-28
Int-Tn_1	group_4084	2.08551e-23
Int-Tn_1	group_5405	8.1781e-16
Int-Tn_1	group_6001	1.28772e-23
Int-Tn_1	group_2026	3.63057e-14
Int-Tn_1	group_754	2.15866e-21
Int-Tn_1	group_4078	5.84526e-15
Int-Tn_1	group_5992	5.84526e-15
Int-Tn_1	group_4876	4.01134e-15
Int-Tn_1	group_5414	4.01134e-15
Int-Tn_1	group_5993	4.01134e-15
Int-Tn_1	group_4778	6.49373e-20
Int-Tn_1	group_5413	1.79915e-18
Int-Tn_1	group_2822	4.55014e-16
Int-Tn_1	group_3071	5.85711e-33
Int-Tn_1	group_1366	6.82407e-33
Int-Tn_1	group_3714	8.98097e-34
Int-Tn_1	group_1298	3.89404e-19
Int-Tn_1	group_1989	1.95011e-33
Int-Tn_1	group_827	2.83053e-13
Int-Tn_1	group_1619	1.7769e-24
Int-Tn_1	group_4447	3.89962e-17
Int-Tn_1	group_2033	8.61819e-18
Int-Tn_1	group_5415	9.47897e-19
Int-Tn_1	pbpX_1	2.29836e-18
Int-Tn_1	group_4891	9.26929e-36
Int-Tn_1	group_265	7.39466e-11
Int-Tn_1	group_1306	5.92369e-20
Int-Tn_1	group_5990	8.96937e-34
Int-Tn_1	phnU	1.11205e-22
Int-Tn_1	group_279	2.77911e-18
Int-Tn_1	gutB	9.22736e-22
Int-Tn_1	group_4056	2.1576e-19
Int-Tn_1	group_6012	6.6986e-20
Int-Tn_1	group_8256	3.70468e-37
Int-Tn_1	group_5401	1.61471e-33
Int-Tn_1	group_13	6.4875e-21
Int-Tn_1	levS	7.58677e-29
Int-Tn_1	group_123	8.68848e-14
Int-Tn_1	group_1962	1.3039e-20
Int-Tn_1	group_321	4.82335e-18
Int-Tn_1	group_3705	1.69858e-41
Int-Tn_1	group_5408	1.69858e-41
Int-Tn_1	group_5410	4.41147e-36
Int-Tn_1	group_418	2.86854e-19
Int-Tn_1	group_5409	2.11206e-36
Int-Tn_1	group_1119	1.50562e-31
Int-Tn_1	group_4837	8.87038e-26
Int-Tn_1	group_5355	8.87038e-26
Int-Tn_1	group_5357	8.87038e-26
Int-Tn_1	group_5979	1.56673e-21
Int-Tn_1	group_151	9.08436e-22
Int-Tn_1	group_4581	1.0098e-25
Int-Tn_1	ftsK_1	2.6188e-26
Int-Tn_1	group_5358	1.0098e-25
Int-Tn_1	group_5359	2.6188e-26
Int-Tn_1	group_5416	1.44795e-24
Int-Tn_1	group_5942	2.6188e-26
Int-Tn_1	iap	1.0098e-25
Int-Tn_1	group_2704	7.9914e-25
Int-Tn_1	group_4892	4.73342e-38
Int-Tn_1	group_503	2.42034e-11
Int-Tn_1	group_948	2.62883e-16
Int-Tn_1	group_5412	2.16203e-38
Int-Tn_1	group_108	1.70443e-22
Int-Tn_1	group_3419	9.79374e-39
Int-Tn_1	group_5411	4.75187e-38
Int-Tn_1	group_5991	9.79374e-39
Int-Tn_1	group_4456	5.61635e-15
Int-Tn_1	group_4069	3.6003e-15
Int-Tn_1	group_5361	1.09816e-27
Int-Tn_1	group_2656	7.54011e-16
Int-Tn_1	Int-Tn_2	5.69792e-28
Int-Tn_1	group_4888	8.08111e-24
Int-Tn_1	group_5944	5.69792e-28
Int-Tn_1	group_5945	5.69792e-28
Int-Tn_1	group_909	2.14036e-24
Int-Tn_1	group_5360	1.20349e-27
Int-Tn_1	group_248	4.55151e-12
Int-Tn_1	group_3728	3.43581e-23
Int-Tn_1	group_5399	1.78923e-25
Int-Tn_1	sarA_2	2.30488e-31
