Source	Target	weight
Int-Tn_1	group_3656	1.56472e-44
Int-Tn_1	group_3978	1.50951e-42
Int-Tn_1	galE	1.63978e-44
Int-Tn_1	group_4326	1.55767e-46
Int-Tn_1	gpsB	8.30459e-33
Int-Tn_1	hemH	3.1066e-41
Int-Tn_1	group_5291	7.01058e-40
Int-Tn_1	group_2605	1.0288e-41
Int-Tn_1	group_4749	8.59592e-22
Int-Tn_1	group_2606	8.68418e-38
Int-Tn_1	group_4615	5.70592e-32
Int-Tn_1	ponA	3.78635e-51
Int-Tn_1	bcgIB	1.99226e-38
Int-Tn_1	group_4346	3.2071e-31
Int-Tn_1	corA	7.58774e-81
Int-Tn_1	group_3998	6.84511e-67
Int-Tn_1	pepX	2.58932e-31
Int-Tn_1	group_2233	1.07043e-47
Int-Tn_1	group_3847	2.57112e-38
Int-Tn_1	celA_1	1.95316e-40
Int-Tn_1	group_202	2.95172e-32
Int-Tn_1	group_1973	2.80627e-26
Int-Tn_1	dps	2.18376e-26
Int-Tn_1	malX	2.62115e-35
Int-Tn_1	group_2568	2.89778e-42
Int-Tn_1	group_4246	9.25531e-29
Int-Tn_1	group_789	1.02547e-62
Int-Tn_1	group_3897	2.97891e-58
Int-Tn_1	yjaB	4.24933e-24
Int-Tn_1	group_4665	2.13345e-22
Int-Tn_1	group_2543	2.16259e-35
Int-Tn_1	group_2556	4.13375e-20
Int-Tn_1	nagC	2.92953e-28
Int-Tn_1	mutX_1	8.11405e-22
Int-Tn_1	group_1257	2.37276e-20
Int-Tn_1	group_3294	6.4159e-20
Int-Tn_1	agrA_2	3.60669e-48
Int-Tn_1	group_2995	2.29587e-33
Int-Tn_1	yknX	1.70723e-26
Int-Tn_1	group_1844	1.63036e-39
Int-Tn_1	group_1285	8.41637e-18
Int-Tn_1	comC	6.28129e-23
Int-Tn_1	ykfA	8.84206e-42
Int-Tn_1	group_1576	3.09833e-32
Int-Tn_1	group_1683	9.35088e-20
Int-Tn_1	group_1068	1.50558e-09
Int-Tn_1	group_1348	3.01328e-14
Int-Tn_1	group_4421	1.82476e-21
Int-Tn_1	licC_2	5.13092e-19
Int-Tn_1	group_3290	7.99137e-27
Int-Tn_1	trmFO	2.74514e-41
Int-Tn_1	group_82	1.1163e-19
Int-Tn_1	potA_1	5.88625e-10
Int-Tn_1	group_2576	2.36321e-33
Int-Tn_1	group_1292	1.51835e-30
Int-Tn_1	uvrB_2	9.2976e-28
Int-Tn_1	group_1441	1.14307e-24
Int-Tn_1	ndvA	1.498e-37
Int-Tn_1	iga_3	3.67979e-27
Int-Tn_1	acpP_2	3.2822e-14
Int-Tn_1	group_1358	1.47867e-27
Int-Tn_1	rclA	1.70326e-19
Int-Tn_1	group_1317	9.60335e-13
Int-Tn_1	group_1351	1.00855e-25
Int-Tn_1	acpP_1	4.15337e-28
Int-Tn_1	group_4911	7.58401e-18
Int-Tn_1	group_2751	5.02105e-22
Int-Tn_1	ubiG	7.97257e-16
Int-Tn_1	group_3708	3.37181e-21
Int-Tn_1	group_4241	2.98272e-13
Int-Tn_1	group_1979	1.00034e-24
Int-Tn_1	group_2818	2.57155e-10
Int-Tn_1	pkn1	1.59058e-13
Int-Tn_1	hlyB	8.68431e-16
Int-Tn_1	ybiT_1	1.16217e-12
Int-Tn_1	group_1581	2.25593e-12
Int-Tn_1	group_5451	9.69325e-21
Int-Tn_1	group_1483	8.97848e-09
Int-Tn_1	group_2421	3.13019e-12
Int-Tn_1	group_3737	4.7492e-22
