12B01	GCA_000152765.1
10N.286.51.C2	GCA_002873555.1
10N.286.49.C5	GCA_002874435.1
10N.222.52.B12	GCA_002875385.1
10N.261.51.C9	GCA_002876255.1
10N.261.54.B2	GCA_002877285.1
ZF207	GCA_000256385.2
10N.286.51.F2	GCA_002873565.1
10N.286.49.F11	GCA_002874445.1
10N.222.51.F9	GCA_002875395.1
10N.261.51.F8	GCA_002876285.1
10N.261.54.C7	GCA_002877305.1
10N.286.55.E1	GCA_002872535.2
10N.286.51.B5	GCA_002873595.1
10N.286.51.A9	GCA_002874475.1
10N.222.52.C10	GCA_002875425.1
10N.261.51.E6	GCA_002876295.1
10N.261.54.E12	GCA_002877315.1
10N.286.55.E12	GCA_002872545.1
10N.286.51.B7	GCA_002873615.1
10N.286.51.B9	GCA_002874485.1
10N.222.52.B2	GCA_002875445.1
10N.261.52.A1	GCA_002876325.1
10N.261.54.F5	GCA_002877345.1
10N.286.55.E10	GCA_002872555.1
10N.286.52.B9	GCA_002873635.1
10N.286.52.B7	GCA_002874515.1
10N.222.54.F11	GCA_002875465.1
10N.261.52.B2	GCA_002876365.1
10N.261.55.A7	GCA_002877365.1
10N.286.55.E6	GCA_002872565.1
10N.286.52.B4	GCA_002873645.1
10N.286.52.C2	GCA_002874545.1
10N.222.54.B6	GCA_002875485.1
10N.261.52.C1	GCA_002876375.1
10N.261.54.F1	GCA_002877375.1
10N.286.55.C2	GCA_002872615.1
10N.286.52.C12	GCA_002873675.1
10N.286.52.E10	GCA_002874555.1
10N.222.54.F7	GCA_002875495.1
10N.261.52.C5	GCA_002876405.1
10N.261.55.A11	GCA_002877405.1
10N.286.55.C3	GCA_002872625.1
10N.286.52.C6	GCA_002873695.1
10N.286.52.E3	GCA_002874595.1
10N.222.55.C12	GCA_002875525.1
10N.261.52.C7	GCA_002876415.1
10N.261.55.A8	GCA_002877415.1
10N.286.55.F1	GCA_002872635.1
10N.286.52.F9	GCA_002873715.1
10N.286.52.C10	GCA_002874615.1
10N.261.45.A10	GCA_002875545.1
10N.261.52.C4	GCA_002876425.1
10N.261.55.B3	GCA_002877445.1
10N.286.55.E8	GCA_002872645.1
10N.286.52.F10	GCA_002873735.1
10N.286.54.A10	GCA_002874645.1
10N.261.45.A1	GCA_002875555.1
10N.222.46.C2	GCA_002876465.1
10N.261.55.B9	GCA_002877465.1
10N.286.55.C7	GCA_002872695.1
10N.286.52.F6	GCA_002873745.1
10N.286.54.A11	GCA_002874655.2
10N.261.45.A2	GCA_002875585.1
10N.222.51.A7	GCA_002876485.1
10N.261.55.E5	GCA_002877485.1
10N.286.55.C4	GCA_002872705.1
10N.286.54.A1	GCA_002873755.2
10N.286.54.B1	GCA_002874685.2
10N.261.45.A6	GCA_002875605.1
10N.222.51.A4	GCA_002876495.1
10N.286.45.A10	GCA_002877525.1
10N.286.45.B12	GCA_002872735.1
10N.286.54.A6	GCA_002873795.2
10N.286.54.B8	GCA_002874695.2
10N.261.45.C3	GCA_002875625.1
10N.222.46.E12	GCA_002876525.1
10N.261.55.E8	GCA_002877535.1
10N.286.55.F10	GCA_002872755.1
10N.286.54.E11	GCA_002873815.1
10N.286.54.C10	GCA_002874725.1
10N.261.45.C6	GCA_002875635.1
10N.222.49.F8	GCA_002876535.1
10N.261.55.F5	GCA_002877545.1
10N.286.45.B6	GCA_002872765.1
10N.286.54.C7	GCA_002873825.1
10N.286.54.C8	GCA_002874745.1
10N.261.45.B10	GCA_002875665.1
10N.222.52.A7	GCA_002876565.1
10N.261.52.F12	GCA_002877605.2
10N.286.45.B3	GCA_002872775.1
10N.286.54.A8	GCA_002873855.2
10N.286.54.E5	GCA_002874765.1
10N.261.45.E11	GCA_002875685.1
