Score,Frequency
-24,0.03542788314144685
-23,0.1417115325657874
-22,0.3542788314144685
-21,0.3897067145559153
-20,1.2399759099506396
-19,2.479951819901279
-18,5.916456484621624
-17,12.789465814062313
-16,26.88976330435816
-15,61.67994454925896
-14,149.39938320748135
-13,339.89511085904104
-12,831.5278452128989
-11,2006.6353011315493
-10,5082.484115471965
-9,13301.398725456218
-8,35356.53138479997
-7,94384.94687610363
-6,273816.3340552906
-5,836960.6048089904
-4,2573364.0
-3,7845471.0
-2,29022587.0
-1,170314748.0
0,769927892.0
1,225154257.0
2,31180041.0
3,8276321.0
4,2724022.0
5,966185.615389458
6,331737.55734265776
7,117351.85153597566
8,43518.725953874775
9,16168.29388502838
10,6271.691868880911
11,2529.302861117315
12,1075.7676715900336
13,473.0685235877398
14,206.79255389662524
15,95.47814506619926
16,37.766123428782336
17,18.42249923355236
18,8.21926888881567
19,3.3302210152960035
20,1.7359662739308956
21,0.8502691953947243
22,0.42513459769736217
23,0.21256729884868109
24,0.03542788314144685
25,0.1417115325657874
26,0.0708557662828937
