Node1,Node2,Force,pair_type
group_7988,group_6668,-0.462862015,gene-gene-assoc
group_10622,group_10657,-0.491180628,gene-gene-assoc
group_2928,group_5237,-0.497756516,gene-gene-assoc
ulaA,group_4999,-0.49963324543,gene-gene-assoc
group_17112,group_5237,-0.497756516,gene-gene-assoc
group_17112,group_2928,-0.4990161844,gene-gene-assoc
group_6606,group_5237,-0.497756516,gene-gene-assoc
group_6606,group_2928,-0.4990161844,gene-gene-assoc
group_6606,group_17112,-0.4990161844,gene-gene-assoc
group_5818,ulaA,-0.462862015,gene-gene-assoc
group_2927,group_5236,-0.462862015,gene-gene-assoc
group_2927,group_5237,-0.481589217,gene-gene-assoc
group_2927,group_2928,-0.491180628,gene-gene-assoc
group_2927,group_17112,-0.491180628,gene-gene-assoc
group_2927,group_6606,-0.491180628,gene-gene-assoc
birA,group_7983,-0.4990161844,gene-gene-assoc
group_4749,group_6222,-0.462862015,gene-gene-assoc
group_1563,group_4533,-0.462862015,gene-gene-assoc
group_8243,group_4999,-0.462862015,gene-gene-assoc
group_8243,ulaA,-0.462862015,gene-gene-assoc
group_6574,group_7445,-0.491180628,gene-gene-assoc
norW,group_4999,-0.491180628,gene-gene-assoc
norW,ulaA,-0.481589217,gene-gene-assoc
norW,group_8243,-0.481589217,gene-gene-assoc
group_8153,group_4999,-0.481589217,gene-gene-assoc
group_8153,ulaA,-0.491180628,gene-gene-assoc
group_8153,group_8243,-0.481589217,gene-gene-assoc
group_8153,norW,-0.481589217,gene-gene-assoc
group_18185,group_11491,-0.481589217,gene-gene-assoc
group_9969,group_18185,-0.462862015,gene-gene-assoc
yidZ,group_4999,-0.481589217,gene-gene-assoc
yidZ,ulaA,-0.491180628,gene-gene-assoc
yidZ,group_11491,-0.481589217,gene-gene-assoc
yidZ,group_8243,-0.481589217,gene-gene-assoc
yidZ,norW,-0.481589217,gene-gene-assoc
yidZ,group_8153,-0.49980720406,gene-gene-assoc
yidZ,group_18185,-0.481589217,gene-gene-assoc
group_5578,group_3520,-0.462862015,gene-gene-assoc
group_5578,group_6129,-0.462862015,gene-gene-assoc
group_6563,group_5180,-0.4959417204,gene-gene-assoc
group_10600,group_10425,-0.4990161844,gene-gene-assoc
group_9675,group_10255,-0.49980720406,gene-gene-assoc
group_6704,group_5392,-0.497756516,gene-gene-assoc
group_6083,uhpB,-0.497756516,gene-gene-assoc
group_5984,uhpB,-0.497756516,gene-gene-assoc
group_5984,group_6083,-0.497756516,gene-gene-assoc
group_798,group_5392,-0.491180628,gene-gene-assoc
group_798,group_6704,-0.49980720406,gene-gene-assoc
group_866,group_15266,-0.49980720406,gene-gene-assoc
group_15854,uhpB,-0.4959417204,gene-gene-assoc
group_15854,group_6083,-0.497756516,gene-gene-assoc
group_15854,group_5984,-0.4959417204,gene-gene-assoc
group_13578,uhpB,-0.4959417204,gene-gene-assoc
group_13578,group_6083,-0.497756516,gene-gene-assoc
group_13578,group_5984,-0.4959417204,gene-gene-assoc
group_13578,group_15854,-0.497756516,gene-gene-assoc
group_12165,group_11414,-0.5,gene-gene-assoc
group_4197,group_15266,-0.49980720406,gene-gene-assoc
group_4197,group_866,-0.49980720406,gene-gene-assoc
group_3071,group_15266,-0.49980720406,gene-gene-assoc
group_3071,group_866,-0.49980720406,gene-gene-assoc
group_3071,group_4197,-0.49980720406,gene-gene-assoc
group_8276,group_8491,-0.462862015,gene-gene-assoc
group_8276,group_8277,-0.462862015,gene-gene-assoc
group_8150,group_7731,-0.4959417204,gene-gene-assoc
group_6354,group_4856,-0.49980720406,gene-gene-assoc
group_5318,group_15266,-0.49980720406,gene-gene-assoc
group_5318,group_866,-0.49980720406,gene-gene-assoc
group_5318,group_4197,-0.49980720406,gene-gene-assoc
group_5318,group_3071,-0.49980720406,gene-gene-assoc
group_7870,group_4856,-0.49980720406,gene-gene-assoc
group_7870,group_6354,-0.5,gene-gene-assoc
group_7310,group_4856,-0.49980720406,gene-gene-assoc
group_7310,group_6354,-0.5,gene-gene-assoc
group_7310,group_7870,-0.5,gene-gene-assoc
group_6398,group_4856,-0.49980720406,gene-gene-assoc
group_6398,group_6354,-0.49980720406,gene-gene-assoc
group_6398,group_7870,-0.49980720406,gene-gene-assoc
group_6398,group_7310,-0.49980720406,gene-gene-assoc
group_5880,group_6860,-0.4990161844,gene-gene-assoc
group_4941,group_4856,-0.49980720406,gene-gene-assoc
group_4941,group_6354,-0.5,gene-gene-assoc
group_4941,group_7870,-0.5,gene-gene-assoc
group_4941,group_7310,-0.5,gene-gene-assoc
group_4941,group_6398,-0.5,gene-gene-assoc
group_9097,group_9102,-0.49980720406,gene-gene-assoc
group_9093,group_9102,-0.49980720406,gene-gene-assoc
group_9093,group_9097,-0.49980720406,gene-gene-assoc
group_11820,group_8226,-0.4959417204,gene-gene-assoc
group_8742,group_8853,-0.49980720406,gene-gene-assoc
fhuB,group_8853,-0.49980720406,gene-gene-assoc
fhuB,group_8742,-0.49987306465,gene-gene-assoc
group_6358,group_8853,-0.49963324543,gene-gene-assoc
group_6358,group_8742,-0.49980720406,gene-gene-assoc
group_6358,fhuB,-0.49980720406,gene-gene-assoc
group_8461,group_8853,-0.49980720406,gene-gene-assoc
group_8461,group_8742,-0.49980720406,gene-gene-assoc
group_8461,fhuB,-0.49980720406,gene-gene-assoc
group_8461,group_6358,-0.4994837068,gene-gene-assoc
group_6498,group_7403,-0.481589217,gene-gene-assoc
rfbB,norW,-0.462862015,gene-gene-assoc
rfbB,group_11414,-0.481589217,gene-gene-assoc
rfbB,group_12165,-0.462862015,gene-gene-assoc
rfbB,group_7221,-0.4959417204,gene-gene-assoc
group_7941,group_8277,-0.481589217,gene-gene-assoc
group_9707,group_4999,-0.481589217,gene-gene-assoc
group_9707,ulaA,-0.481589217,gene-gene-assoc
group_9707,norW,-0.481589217,gene-gene-assoc
group_9707,group_8153,-0.481589217,gene-gene-assoc
group_9707,yidZ,-0.481589217,gene-gene-assoc
group_12784,norW,-0.462862015,gene-gene-assoc
group_12784,group_11414,-0.481589217,gene-gene-assoc
group_12784,group_7221,-0.462862015,gene-gene-assoc
group_12784,rfbB,-0.5,gene-gene-assoc
group_9204,group_7273,-0.481589217,gene-gene-assoc
group_7086,group_7087,-0.5,gene-gene-assoc
fecB,group_7087,-0.5,gene-gene-assoc
fecB,group_7086,-0.5,gene-gene-assoc
fecD,group_7087,-0.5,gene-gene-assoc
fecD,group_7086,-0.5,gene-gene-assoc
fecD,fecB,-0.5,gene-gene-assoc
group_4247,group_7087,-0.5,gene-gene-assoc
group_4247,group_7086,-0.5,gene-gene-assoc
group_4247,fecB,-0.5,gene-gene-assoc
group_4247,fecD,-0.5,gene-gene-assoc
group_7737,group_7087,-0.5,gene-gene-assoc
group_7737,group_7086,-0.5,gene-gene-assoc
group_7737,fecB,-0.5,gene-gene-assoc
group_7737,fecD,-0.5,gene-gene-assoc
group_7737,group_4247,-0.5,gene-gene-assoc
group_15755,group_4999,-0.462862015,gene-gene-assoc
group_15755,ulaA,-0.462862015,gene-gene-assoc
group_15755,group_8243,-0.491180628,gene-gene-assoc
group_15755,norW,-0.491180628,gene-gene-assoc
group_15755,group_8153,-0.491180628,gene-gene-assoc
group_15755,group_9969,-0.481589217,gene-gene-assoc
