Score,Frequency
-23,0.0708557662828937
-22,0.21256729884868109
-21,0.3542788314144685
-20,0.708557662828937
-19,2.125672988486811
-18,4.570196925246643
-17,10.91178800756563
-16,25.508075861841732
-15,56.96803609144653
-14,137.28304717310652
-13,339.257408962495
-12,829.6501674064023
-11,2020.8773101544111
-10,4994.94181622945
-9,12654.839858124815
-8,33730.49783225699
-7,94736.71032781506
-6,278881.635647439
-5,843537.4016074855
-4,2546321.0
-3,7743863.0
-2,28927745.0
-1,166832267.0
0,771131544.0
1,227226468.0
2,31462583.0
3,8344631.0
4,2809474.0
5,987289.4031028044
6,339463.70552602765
7,118056.51213165904
8,42195.81336949
9,15489.920778635957
10,6093.737611861424
11,2485.5139975544867
12,1035.3090290425012
13,447.4187361933322
14,191.7711314446518
15,80.9172850950646
16,33.33763803610148
17,15.198561867680697
18,5.349610354358474
19,3.5427883141446848
20,1.3108316762335335
21,0.5668461302631496
22,0.3542788314144685
23,0.0708557662828937
24,0.1417115325657874
28,0.03542788314144685
