Node1,Node2,Force,pair_type
group_7316,group_4999,-0.458411142,gene-gene-assoc
group_6668,group_7503,-0.458411142,gene-gene-assoc
group_5234,group_10657,-0.458411142,gene-gene-assoc
group_7988,group_7503,-0.458411142,gene-gene-assoc
group_7988,group_6668,-0.478757063,gene-gene-assoc
group_5338,group_7503,-0.458411142,gene-gene-assoc
group_5338,group_6668,-0.458411142,gene-gene-assoc
group_5338,group_7988,-0.458411142,gene-gene-assoc
group_10622,group_10657,-0.494908484,gene-gene-assoc
group_10622,group_5234,-0.458411142,gene-gene-assoc
group_2928,group_5237,-0.4986484548,gene-gene-assoc
ulaA,group_4999,-0.49986063353,gene-gene-assoc
group_17112,group_5236,-0.458411142,gene-gene-assoc
group_17112,group_5237,-0.4986484548,gene-gene-assoc
group_17112,group_2928,-0.4994489303,gene-gene-assoc
group_6606,group_5237,-0.4986484548,gene-gene-assoc
group_6606,group_2928,-0.4994489303,gene-gene-assoc
group_6606,group_17112,-0.4994489303,gene-gene-assoc
group_5818,ppk1,-0.458411142,gene-gene-assoc
group_5818,group_4999,-0.458411142,gene-gene-assoc
group_5818,ulaA,-0.478757063,gene-gene-assoc
group_2927,group_5236,-0.478757063,gene-gene-assoc
group_2927,group_5237,-0.489494085,gene-gene-assoc
group_2927,group_2928,-0.494908484,gene-gene-assoc
group_2927,group_17112,-0.494908484,gene-gene-assoc
group_2927,group_6606,-0.494908484,gene-gene-assoc
birA,group_7983,-0.4994489303,gene-gene-assoc
group_7384,group_8434,-0.458411142,gene-gene-assoc
murB,pssA,-0.458411142,gene-gene-assoc
murB,birA,-0.458411142,gene-gene-assoc
group_11491,group_11918,-0.458411142,gene-gene-assoc
group_11491,group_2147,-0.458411142,gene-gene-assoc
group_4749,group_6222,-0.478757063,gene-gene-assoc
group_4749,group_7384,-0.458411142,gene-gene-assoc
group_1563,group_4533,-0.478757063,gene-gene-assoc
group_8243,group_4999,-0.478757063,gene-gene-assoc
group_8243,ulaA,-0.478757063,gene-gene-assoc
group_6574,group_7445,-0.494908484,gene-gene-assoc
norW,group_4999,-0.494908484,gene-gene-assoc
norW,ulaA,-0.489494085,gene-gene-assoc
norW,group_8243,-0.489494085,gene-gene-assoc
group_8153,group_4999,-0.489494085,gene-gene-assoc
group_8153,ulaA,-0.494908484,gene-gene-assoc
group_8153,group_11491,-0.458411142,gene-gene-assoc
group_8153,group_8243,-0.489494085,gene-gene-assoc
group_8153,norW,-0.489494085,gene-gene-assoc
group_18185,ppk1,-0.458411142,gene-gene-assoc
group_18185,ulaA,-0.458411142,gene-gene-assoc
group_18185,group_6101,-0.458411142,gene-gene-assoc
