1.011.O.	GCA_003926235.1
1.062.O.	GCA_003927055.1
1.040.O.	GCA_003926795.1
1.044.O.	GCF_003926855.1
1.043.O.	GCA_003926835.1
2.092.O.	GCA_003931275.1
1.102.O.	GCA_003927635.1
1.080.O.	GCF_003927295.1
1.125.O.	GCA_003928155.1
1.008.O.	GCF_003926195.1
1.095.O.	GCA_003927555.1
1.141.A.	GCA_003928395.1
1.069.O.	GCA_003927135.1
1.048.O.	GCA_003926915.1
1.057.O.	GCA_003926995.1
1.107.B.	GCA_003927755.1
3.058.O.	GCA_003931455.1
1.009.O.	GCA_003926215.1
1.208.B.	GCA_003929615.1
1.215.A.	GCA_003929755.1
2.044.O.	GCA_003852915.1
1.087.A.	GCA_003927415.1
1.091.O.	GCA_003927495.1
1.121.O.	GCA_003928055.1
1.161.O.	GCA_003344165.1
1.138.O.	GCA_003928335.1
1.293.O.	GCA_003931255.1
1.088.O.	GCA_003927435.1
2.095.B.	GCA_003931315.1
1.020.O.	GCF_003926355.1
1.166.O.	GCA_003928775.1
1.024.O.	GCA_003926475.1
1.190.O.	GCA_003929295.1
1.033.O.	GCA_003926655.1
1.060.A.	GCA_003927015.1
1.112.O.	GCA_003927875.1
1.255.O.	GCA_003930475.1
1.063.O.	GCA_003927075.1
1.003.O.	GCA_003926115.1
1.067.O.	GCA_003927115.1
1.016.O.	GCA_003926315.1
1.071.A.	GCA_003927175.1
1.257.O.	GCA_003930515.1
1.104.O.	GCA_003927675.1
1.177.O.	GCA_003928995.1
1.224.A.	GCF_003929875.1
1.012.O.	GCA_003926255.1
1.034.O.	GCA_003926675.1
2.117.O.	GCA_003931355.1
1.207.B.	GCA_003929595.1
1.261.O.	GCF_003930555.1
1.228.O.	GCA_003929935.1
1.157.O.	GCA_003928635.1
1.139.B.	GCA_003928375.1
1.209.O.	GCA_003929635.1
1.162.O.	GCA_003928715.1
1.147.O.	GCA_003928475.1
1.131.O.	GCA_003928195.1
1.188.A.	GCF_003929175.1
1.245.O.	GCF_003930255.1
1.148.O.	GCA_003928495.1
2.096.O.	GCA_003931335.1
1.242.O.	GCA_003930195.1
1.074.O.	GCA_003927195.1
1.132.O.	GCA_003928215.1
1.167.O.	GCA_003928795.1
1.233.A.	GCA_003929995.1
1.169.O.	GCF_003928835.1
1.182.O.	GCA_003929075.1
1.262.O.	GCA_003930575.1
1.115.A.	GCA_003927915.1
1.108.O.	GCA_003927795.1
1.064.O.	GCA_003927095.1
1.015.O.	GCA_003926295.1
