Cluster,Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_000152765.1,GCA_000256385.2,GCA_002872535.2,GCA_002872545.1,GCA_002872555.1,GCA_002872565.1,GCA_002872615.1,GCA_002872625.1,GCA_002872635.1,GCA_002872645.1,GCA_002872695.1,GCA_002872705.1,GCA_002872735.1,GCA_002872755.1,GCA_002872765.1,GCA_002872775.1,GCA_002872835.1,GCA_002872855.1,GCA_002872865.1,GCA_002872895.1,GCA_002872905.1,GCA_002872925.1,GCA_002872955.1,GCA_002873045.1,GCA_002873075.1,GCA_002873095.1,GCA_002873115.1,GCA_002873185.1,GCA_002873195.1,GCA_002873265.1,GCA_002873285.1,GCA_002873335.1,GCA_002873345.1,GCA_002873395.1,GCA_002873405.1,GCA_002873435.1,GCA_002873455.1,GCA_002873485.1,GCA_002873515.1,GCA_002873525.1,GCA_002873555.1,GCA_002873565.1,GCA_002873595.1,GCA_002873645.1,GCA_002873675.1,GCA_002873695.1,GCA_002873715.1,GCA_002873735.1,GCA_002873745.1,GCA_002873755.2,GCA_002873795.2,GCA_002873815.1,GCA_002873825.1,GCA_002873855.2,GCA_002873875.2,GCA_002873895.2,GCA_002873905.1,GCA_002873935.1,GCA_002873955.2,GCA_002873965.1,GCA_002873995.1,GCA_002874015.1,GCA_002874035.1,GCA_002874055.1,GCA_002874075.1,GCA_002874085.1,GCA_002874115.1,GCA_002874135.1,GCA_002874155.1,GCA_002874165.1,GCA_002874195.1,GCA_002874205.1,GCA_002874235.1,GCA_002874245.1,GCA_002874275.1,GCA_002874295.1,GCA_002874305.1,GCA_002874335.1,GCA_002874415.1,GCA_002874435.1,GCA_002874445.1,GCA_002874475.1,GCA_002874485.1,GCA_002874515.1,GCA_002874555.1,GCA_002874595.1,GCA_002874615.1,GCA_002874645.1,GCA_002874655.2,GCA_002874685.2,GCA_002874695.2,GCA_002874725.1,GCA_002874745.1,GCA_002874765.1,GCA_002874785.2,GCA_002874845.1,GCA_002874865.2,GCA_002874875.2,GCA_002874905.1,GCA_002874925.1,GCA_002874945.1,GCA_002874975.1,GCA_002875005.1,GCA_002875015.1,GCA_002875045.1,GCA_002875065.1,GCA_002875085.1,GCA_002875095.1,GCA_002875125.1,GCA_002875145.1,GCA_002875165.1,GCA_002875185.1,GCA_002875195.1,GCA_002875225.1,GCA_002875235.1,GCA_002875245.1,GCA_002875285.1,GCA_002875305.1,GCA_002875315.1,GCA_002875345.1,GCA_002875355.1,GCA_002875385.1,GCA_002875395.1,GCA_002875425.1,GCA_002875445.1,GCA_002875465.1,GCA_002875485.1,GCA_002875495.1,GCA_002875525.1,GCA_002875555.1,GCA_002875585.1,GCA_002875605.1,GCA_002875625.1,GCA_002875665.1,GCA_002875685.1,GCA_002875705.1,GCA_002875715.1,GCA_002875745.1,GCA_002875785.1,GCA_002875805.1,GCA_002875825.1,GCA_002875845.1,GCA_002875865.2,GCA_002875885.1,GCA_002875905.1,GCA_002875915.1,GCA_002875945.1,GCA_002875965.1,GCA_002875985.1,GCA_002875995.1,GCA_002876025.1,GCA_002876045.1,GCA_002876065.1,GCA_002876085.1,GCA_002876105.1,GCA_002876115.1,GCA_002876125.1,GCA_002876165.1,GCA_002876185.1,GCA_002876195.1,GCA_002876225.1,GCA_002876245.1,GCA_002876255.1,GCA_002876285.1,GCA_002876295.1,GCA_002876325.1,GCA_002876365.1,GCA_002876375.1,GCA_002876405.1,GCA_002876415.1,GCA_002876425.1,GCA_002876465.1,GCA_002876485.1,GCA_002876495.1,GCA_002876525.1,GCA_002876535.1,GCA_002876565.1,GCA_002876575.1,GCA_002876585.1,GCA_002876625.1,GCA_002876665.1,GCA_002876675.1,GCA_002876715.1,GCA_002876745.1,GCA_002876765.1,GCA_002876795.1,GCA_002876845.1,GCA_002876855.1,GCA_002876865.1,GCA_002876915.1,GCA_002876945.2,GCA_002876965.1,GCA_002876975.1,GCA_002877005.2,GCA_002877045.1,GCA_002877065.2,GCA_002877085.1,GCA_002877105.1,GCA_002877115.1,GCA_002877145.1,GCA_002877185.1,GCA_002877195.1,GCA_002877235.1,GCA_002877285.1,GCA_002877305.1,GCA_002877315.1,GCA_002877345.1,GCA_002877365.1,GCA_002877375.1,GCA_002877405.1,GCA_002877415.1,GCA_002877445.1,GCA_002877465.1,GCA_002877485.1,GCA_002877525.1,GCA_002877535.1,GCA_002877545.1,GCA_002877605.2,GCA_002877625.1,GCA_002877645.1,GCA_002877655.1,GCA_002877685.1,GCA_002877705.1,GCA_002877725.1,GCA_002877735.1,GCA_002877745.1,GCA_002878515.1,GCA_002878535.1,GCA_002878555.1,GCA_002878565.1,GCA_002878595.1,GCA_002878605.2,GCA_002878635.1,GCA_020539545.1,GCA_020539555.1,GCA_020806125.1,GCA_020806205.1,GCA_020806225.1,GCA_020806245.1,GCA_020806255.1,GCA_020806295.1,GCA_020806305.1,GCA_020806365.1,GCA_020806385.1
85,group_9598,,ribosomal protein acetyltransferase;GNAT family N-acetyltransferase,100,100,1.0,1,10027,,,,534,537,534.03,,,cds-MCC5484240.1,cds-PME41828.1,cds-PME38172.1,,cds-PME55160.1,,,,,,,,,,cds-PMJ13681.1,cds-PMI91415.1,cds-PMI79614.1,,cds-PMI77791.1,cds-PMI56089.1,cds-PMI45869.1,cds-PMI25110.1,cds-PMI16663.1,,cds-PMI09337.1,cds-PMH92348.1,,cds-PMH60283.1,,,,,,,,cds-PMH10415.1,,,cds-PMG80362.1,cds-PMG54268.1,,,,cds-PMG27161.1,,,,cds-MCC5512775.1,cds-MCC5526171.1,,,cds-MCC5522686.1,cds-MCC5556781.1,cds-MCC5541972.1,cds-PMF27987.1,,cds-MCC5546863.1,,cds-PME85767.1,,,cds-PME64809.1,cds-PME56839.1,cds-PME57565.1,cds-PMJ14748.1,cds-PMJ00807.1,cds-PMJ05501.1,cds-PMI95747.1,cds-PMJ03186.1,,,,,,,cds-PMI27606.1,,cds-PMH27945.1,cds-PMH08934.1,,,cds-PMG49164.1,cds-PMG24741.1,cds-PMG37878.1,,,cds-MCC5571124.1,cds-MCC5561667.1,cds-MCC5508148.1,,cds-PMF85007.1,,cds-MCC5552472.1,,cds-MCC5502067.1,cds-MCC5498671.1,,cds-PMF07872.1,,,,,cds-PMP45352.1,,,,,,,,,,,,,cds-PMO72281.1,,,,,cds-PMO49649.1,,,,,cds-PMN99869.1,,,cds-PMN84819.1,,cds-PMN58420.1,cds-PMN67805.1,,,cds-PMN35732.1,cds-PMN28102.1,cds-PMN18958.1,,cds-PMN11141.1,cds-PMM99460.1,cds-MCC5487383.1,,,,cds-PMM61907.1,cds-PMM59206.1,,,cds-PMM58551.1,cds-PMM31980.1,cds-PMM42934.1,,,,,,,,,,cds-PML51979.1,cds-PML29058.1,,,cds-PML10141.1,,,cds-PMK94617.1,,,,,,,cds-PMO45951.1,,,,,,,cds-PMM96677.1,,cds-PMN54413.1,,,,,cds-MCC5518484.1,,,cds-MCC5530813.1,,cds-MCC5566627.1,,,,,,cds-PMK59750.1,cds-PMK35667.1,,,cds-PMK10335.1,cds-PMK14436.1,,,,cds-PMJ84109.1,cds-PMJ83517.1,,cds-PMJ66803.1,,,,cds-MCC5492954.1,,cds-PMK69927.1,,,,cds-PMK50203.1,cds-PMK06618.1,,cds-PMG61018.1,,cds-PMH67561.1,,cds-PMJ64281.1,cds-MCC5536745.1,cds-PMK86859.1,cds-MCB5358079.1,cds-MCB5460435.1,,cds-MCC4835660.1,cds-MCC4857114.1,cds-MCC4880215.1,,cds-MCC4791013.1,,,cds-MCC4785374.1
85,group_13733,,hypothetical protein,73,73,1.0,1,14334,,,,210,210,210.0,,cds-OEE14438.1,,cds-PME41833.1,cds-PME38177.1,,,cds-PME46083.1,cds-PME19724.1,cds-PME09499.1,cds-PME39706.1,cds-PME40615.1,cds-PMJ28744.1,cds-PME19364.1,,cds-PMJ28784.1,,cds-PMI90712.1,,,,cds-PMI59328.1,cds-PMI48136.1,cds-PMI25105.1,cds-PMI16667.1,cds-PMI09155.1,,,,cds-PMH60279.1,,,cds-PMH55787.1,,cds-PMH20074.1,,,,cds-PMG84780.1,,cds-PMG80358.1,cds-PMG54274.1,,cds-PMG63041.1,,,,,,,,,cds-PMF61130.1,,,,,cds-PMF37723.1,,,,cds-PME77604.1,62_refound_1262,cds-PME64814.1,,,,,,,cds-PMJ03191.1,cds-PMI70791.1,,,,,cds-PMI01398.1,,,,,,,cds-PMG49160.1,,cds-PMG28654.1,86_refound_1658,,,,,,,,,cds-PMF23977.1,,,cds-PMF19190.1,,cds-PMF17036.1,cds-PME76823.1,,cds-PMP55457.1,,,,,,,,,,,,,,cds-PMO72287.1,,,,,,,,cds-PMO11106.1,,cds-PMN99863.1,,,,,cds-PMN58417.1,,,,cds-PMN35735.1,cds-PMN28098.1,,,,,,,,,,,,,,cds-PMM31986.1,cds-PMM42930.1,,,,,,,,,,cds-PML51984.1,cds-PML29062.1,,cds-PML19825.1,,,cds-PMK91350.1,,cds-PMK97279.1,,,,,,cds-PMO45957.1,,,,,,,cds-PMM96671.1,,,cds-PMM46931.1,,,,cds-MCC5518490.1,,,,,,,,,,,,cds-PMK35671.1,,,,cds-PMK05429.1,,cds-PMK01306.1,cds-PMJ92302.1,,cds-PMJ83514.1,,,,,,,,,,,cds-PMK19378.1,cds-PMK50207.1,cds-PMK06623.1,cds-PMJ47789.1,,,cds-PMH65807.1,,cds-PMJ64275.1,,,,,cds-MCC4773915.1,cds-MCC4835656.1,,cds-MCC4880220.1,cds-MCC4840471.1,cds-MCC4791019.1,,,
85,group_4257,,integrase;hypothetical protein,66,72,1.0909090909090908,1,4431,,,,276,1269,1103.4166666666667,,cds-OEE14439.1,,cds-PME41834.1,cds-PME38178.1,,,,cds-PME19744.1;cds-PME19723.1,cds-PME09498.1,cds-PME39707.1;cds-PME53440.1,cds-PME40616.1,cds-PMJ28743.1,cds-PME19407.1;cds-PME19363.1,,cds-PMJ28783.1,,cds-PMI90713.1,,,,cds-PMI59327.1,cds-PMI48137.1,cds-PMI25104.1,cds-PMI16668.1,cds-PMI09156.1,,,,cds-PMH60278.1,,,cds-PMH55786.1,,cds-PMH20073.1,,,,cds-PMG84779.1,,,cds-PMG54275.1,,,,,,,,,,,,,,,,cds-PMF37722.1;cds-PMF37900.1,,,,cds-PME77605.1;cds-PME77615.1,,cds-PME64815.1,,,,,,,cds-PMJ03192.1,cds-PMI70789.1,,,,,cds-PMI01397.1,,,,,,,cds-PMG49159.1,,cds-PMG28655.1,cds-PMG33494.1,,,,,,,,,cds-PMF23976.1,,,cds-PMF19189.1,,cds-PMF17035.1,cds-PME76822.1,,cds-PMP55456.1,,,,,,,,,,,,,,cds-PMO72288.1,,,,,,,,cds-PMO11107.1,,cds-PMN99862.1,,,,,cds-PMN58416.1,,,,cds-PMN35736.1,cds-PMN28097.1,,,,,,,,,,,,,,cds-PMM31987.1,cds-PMM42929.1,,,,,,,,,,cds-PML51985.1,cds-PML29063.1,,cds-PML19826.1,,,cds-PMK91349.1,,cds-PMK97280.1,,,,,,cds-PMO45958.1,,,,,,,cds-PMM96670.1,,,cds-PMM46932.1,,,,cds-MCC5518491.1,,,,,,,,,,,,cds-PMK35672.1,,,,cds-PMK13946.1,,cds-PMK01307.1,cds-PMJ92301.1,,cds-PMJ83513.1,,,,,,,,,,,cds-PMK19392.1;cds-PMK19379.1,cds-PMK50208.1,cds-PMK06624.1,cds-PMJ47790.1,,,cds-PMH65808.1,,cds-PMJ64274.1,,,,,,cds-MCC4835655.1,,cds-MCC4880221.1,,cds-MCC4791020.1,,,
85,group_9872,,nuclease;NERD domain-containing protein,56,56,1.0,1,10311,,,,417,993,950.6470588235294,,cds-OEE14440.1,,cds-PME41835.1,cds-PME38179.1,5_refound_210,,cds-PME46084.1,cds-PME19722.1,9_refound_307,10_refound_343,cds-PME40617.1,cds-PMJ28742.1,cds-PME19362.1,,,,,,,,cds-PMI59326.1,cds-PMI48138.1,cds-PMI25103.1,,cds-PMI09157.1,,,,cds-PMH60277.1,,,cds-PMH55785.1,,cds-PMH20072.1,,,,cds-PMG84778.1,,cds-PMG80357.1,cds-PMG54276.1,,cds-PMG62994.1,,,,,cds-BCU99_12035,,,,,,,,cds-PMF27991.1,cds-PMF37721.1,,,,cds-PME77606.1,cds-PME68445.1,cds-PME64816.1,,,,,,,cds-PMJ03193.1,,,,,,cds-PMI01396.1,,,,,,,,,cds-PMG28656.1,cds-PMG33491.1,,,,,,,,,95_refound_1875,,,cds-PMF19188.1,,,101_refound_2000,,cds-PMP55455.1,,,,,,,,,,,,,,cds-PMO72289.1,,,,,,,,cds-PMO11108.1,,cds-PMN99861.1,,,,,,,,,,cds-PMN28096.1,,,,,,,,,,,,,,cds-PMM31988.1,,,,,,,,,,,cds-PML51986.1,,,cds-PML19827.1,,,,,cds-PMK97281.1,,,,,,cds-PMO45959.1,,,,,,,cds-PMM96669.1,,,,,,,cds-MCC5518492.1,,,,,,,,,,,,,,,,,,cds-PMK01308.1,cds-PMJ92300.1,,,,,,,,,,,,,cds-PMK19380.1,,cds-PMK06625.1,cds-PMJ47791.1,,,cds-PMH65809.1,,,,,,,cds-MCC4773916.1,,,cds-MCC4880222.1,cds-MCC4840472.1,,,,
85,group_3434,,hypothetical protein,49,49,1.0,1,3565,,,,282,327,325.125,,cds-OEE15456.1,,cds-PME42674.1,cds-PME33133.1,,,cds-PME47100.1,cds-PME19708.1,cds-PME09482.1,cds-PME39723.1,cds-PME44233.1,cds-PMJ33169.1,cds-PME19342.1,,,,,,,,,,cds-PMI22098.1,,cds-PMI05912.1,,,,cds-PMH60254.1,,,cds-PMH47290.1,,cds-PMH23212.1,,,,cds-PMG87540.1,,,cds-PMG58064.1,,,,,,,cds-PMG14466.1,,,,,,,,cds-PMF30222.1,,,,,cds-PME79533.1,cds-PME68252.1,cds-PME62371.1,,,,,,,cds-PMI91719.1,,,,,,cds-PMI01382.1,,,,,,,,,cds-PMG37524.1,cds-PMG42805.1,,,,,,,,,cds-PMF27488.1,,,cds-PMF13833.1,,,cds-PME76806.1,,cds-PMP51957.1,,,,,,cds-PMP08312.1,,,,,,,,,,,,,,,,cds-PMO10085.1,,cds-PMN98986.1,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM33635.1,,,,,,,,,,cds-PML42566.1,,,,,,,,,170_refound_3122,,cds-PMO86992.1,,,,cds-PMO45971.1,,,,,,,cds-PMN22245.1,,,,,,,cds-MCC5518513.1,,,,,,,,,,,,,,,,,,cds-PMK01438.1,cds-PMJ96373.1,,,,,,,,,,,,,cds-PMK24346.1,,cds-PMK12803.1,cds-PMJ48262.1,,,cds-PMH67965.1,,,,,,,cds-MCC4773932.1,,,cds-MCC4880295.1,cds-MCC4840488.1,,,,
85,group_12215,,DJ-1/PfpI family protein;thiamine biosynthesis protein ThiJ,48,48,1.0,1,12769,,,,231,654,633.5625,,,cds-MCC5482942.1,cds-PME26352.1,cds-PME34066.1,,,,,,,,,,,,,,cds-PMI81158.1,,cds-PMI76451.1,cds-PMI57304.1,cds-PMI46255.1,cds-PMI21127.1,,,,,,,,,,,,,,cds-PMH12483.1,,,cds-PMG71880.1,cds-PMG66631.1,,cds-PMG50031.1,,cds-PMG23942.1,,,,cds-MCC5511158.1,cds-MCC5529112.1,,,cds-MCC5521482.1,cds-MCC5555253.1,cds-MCC5540036.1,,,cds-MCC5545570.1,,,,,cds-PME63639.1,,,,,,,cds-PMJ02419.1,,,,,,cds-PMI00611.1,,,,,,,,,,,,cds-MCC5572790.1,cds-MCC5560341.1,cds-MCC5506566.1,,cds-PMF73395.1,,cds-MCC5549610.1,,cds-MCC5504591.1,cds-MCC5496032.1,,cds-PME97007.1,,,,,cds-PMP42259.1,,,,,,,,,,,,,,,,,,,,,,,cds-PMO04497.1,,,,,,,,,,,,,,,cds-MCC5489784.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO37085.1,,,,,,,cds-PMN00708.1,,,,,,,cds-MCC5516494.1,,,cds-MCC5533238.1,,cds-MCC5565082.1,,,,,,cds-PMK52839.1,,,,,cds-PMK00437.1,,,,,,,,,,,cds-MCC5495314.1,,,,,,,,,,,,,,cds-MCC5537788.1,,cds-MCB5360154.1,cds-MCB5463472.1,cds-LMH65_19145,,,cds-MCC4880298.1,cds-LMH64_19550,,cds-MCC4890810.1,,
85,group_9686,,integrase;phage integrase N-terminal SAM-like domain-containing protein;tyrosine-type recombinase/integrase,46,47,1.0217391304347827,1,10119,,,,399,975,951.1333333333333,,cds-OEE14441.1,,cds-PME41836.1,cds-PME38180.1,,,cds-PME46085.1,8_refound_294,cds-PME09496.1,cds-PME39709.1,,cds-PMJ28741.1,cds-PME19361.1,,,,,,,,cds-PMI59325.1,,cds-PMI25102.1,,cds-PMI09158.1,,,,cds-PMH60276.1,,,cds-PMH55784.1,,cds-PMH20071.1,,,,cds-PMG84777.1,,cds-PMG80356.1,,,cds-PMG63284.1,,,,,,,,,,,,,cds-PMF27992.1,cds-PMF37720.1,,,,,,cds-PME64817.1,,,,,,,cds-PMJ03194.1,,,,,,,,,,,,,,,cds-PMG28657.1,cds-PMG33490.1,,,,,,,,,cds-PMF23974.1,,,cds-PMF19187.1,,,cds-PME76820.1,,cds-PMP55454.1,,,,,,cds-PMP10617.1,,,,,,,,cds-PMO72310.1,,,,,,,,cds-PMO11109.1,,,,,,,,,,,,cds-PMN28095.1,,,,,,,,,,,,,,,,,,,,,,,,cds-PML46780.1,cds-PML51987.1,,,cds-PML33972.1,,,,,cds-PMK97282.1,,cds-PMO81963.1,,,,,,,,,,,,,,,,,,cds-MCC5518493.1,,,,,,,,,,,,,,,,,,,cds-PMJ92299.1,,,,,,,,,,,,,222_refound_4018,,cds-PMK06626.1,cds-PMJ47792.1,,,cds-PMH65810.1,,,,,,,cds-MCC4773917.1,,,cds-MCC4880223.1;cds-MCC4880224.1,cds-MCC4840473.1,,,,
85,1.215.A._Phag,,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,x,,,x,,
229,group_21844,,transposase,26,26,1.0,586,1,,,,1020,1020,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH19094.1,,,,cds-PMG90904.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMI23141.1,,,,,,cds-PMG93231.1,,,,,,,,,,cds-PMF83997.1,,,,,,,,,,,,,,,,,,,cds-PMP08731.1,cds-PMP05410.1,cds-PMP09949.1,,cds-PMP03586.1,cds-PMO83550.1,,,cds-PMO70879.1,,cds-PMO69499.1,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM88446.1,,,,,,,,,,,cds-PMM19103.1,cds-PML64774.1,,cds-PML94999.1,,,,,cds-PML35792.1,,,,,,,,,,,,,,,,,,cds-PMN64268.1,,cds-PMM89310.1,,,,,,,cds-PML89256.1,cds-PML87372.1,,cds-PML41126.1,,,,,cds-PMK79784.1,,,,,cds-PMK28423.1,,,,,,,,,,,,cds-PMJ43986.1,,,,cds-PMK50818.1,,,,,,,,,,,,,,,,,,,,,,,
229,2.117.O._Phag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
