Gene_1,Gene_name_1,Annotation_1,Gene_2,Gene_name_2,Annotation_2,p-value unadj,p-value adj,Cluster
Int-Tn,,Transposase from transposon Tn916,dnaC_2,,DNA replication protein DnaC,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3053,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_2872,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_776,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_1743,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_4159,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3470,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_484,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,ssb_3,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3771,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_5509,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3787,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3157,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3144,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_5384,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_4137,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,group_3768,,hypothetical protein,0.0,0.0,170
Int-Tn,,Transposase from transposon Tn916,hhaIM,,Modification methylase HhaI,0.0,0.0,170
Int-Tn_3,,Transposase from transposon Tn916,group_4750,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,group_4899,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,group_3429,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,group_1990,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,group_3427,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,group_1362,,hypothetical protein,0.0,0.0,191
Int-Tn_3,,Transposase from transposon Tn916,fic,,Adenosine monophosphate-protein transferase SoFic,0.0,0.0,191
acpP_1,,hypothetical protein,group_3847,,hypothetical protein,0.0,0.0,51
acpP_1,,hypothetical protein,celA_1,,PTS system cellobiose-specific EIIB component,0.0,0.0,51
acpP_2,,hypothetical protein,map_2,,hypothetical protein,0.0,0.0,39
agaSK_1,,Bifunctional alpha-galactosidase,group_4441,,hypothetical protein,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,group_1220,ptsP,Phosphoenolpyruvate-dependent phosphotransferase system,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,sugB,,Trehalose transport system permease protein SugB,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,group_2805,znuA_1,High-affinity zinc uptake system binding-protein ZnuA,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,group_4402,,hypothetical protein,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,araP,,L-arabinose transport system permease protein AraP,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,group_2449,iga_2,Immunoglobulin A1 protease,0.0,0.0,101
agaSK_1,,Bifunctional alpha-galactosidase,group_4818,,hypothetical protein,0.0,0.0,101
