Gene	data1	random_number
pepA_1	gene	0
murF_1	gene	1
group_1501	gene	2
prmA	gene	3
uvrC	gene	4
ygfA	gene	5
group_1624	gene	6
trpF	gene	7
nudC	gene	8
yodJ	gene	9
group_1835	gene	10
fpgS_1	gene	11
lytB_5	gene	12
thrC	gene	13
iscS_1	gene	14
ftsY	gene	15
dhfR	gene	16
nanA_2	gene	17
divIB	gene	18
wcaJ	gene	19
thiN	gene	20
group_2395	gene	21
rnhC	gene	22
group_2563	gene	23
rimI	gene	24
group_2603	gene	25
natA_5	gene	26
dexB	gene	27
tabA_1	gene	28
group_2723	gene	29
arnB	gene	30
luxA	gene	31
rsmC	gene	32
rsuA_2	gene	33
group_2813	gene	34
uvrB	gene	35
yheH	gene	36
rpiA	gene	37
murG	gene	38
femX	gene	39
bglK_2	gene	40
ulaB	gene	41
mapZ	gene	42
ybjI	gene	43
dnaI	gene	44
rsmE	gene	45
galT_1	gene	46
opuBA	gene	47
slyA	gene	48
treA	gene	49
ydfG	gene	50
group_3278	gene	51
plsX	gene	52
crcB_2	gene	53
group_3342	gene	54
group_3343	gene	55
recR	gene	56
group_3352	gene	57
mutM	gene	58
mutS2	gene	59
oatA	gene	60
cbbZC	gene	61
der_2	gene	62
group_3528	gene	63
rsmA	gene	64
group_3565	gene	65
murD	gene	66
coaBC_2	gene	67
ychF	gene	68
glpO	gene	69
pdxK	gene	70
proA	gene	71
group_3676	gene	72
mshD_1	gene	73
ettA_2	gene	74
aroE	gene	75
nadE	gene	76
yesO_1	gene	77
trpE	gene	78
paaI	gene	79
agaSK	gene	80
ytpP	gene	81
group_3868	gene	82
yidC2	gene	83
rnmV	gene	84
rsmH_1	gene	85
group_3893	gene	86
uvrA	gene	87
mnmG	gene	88
sorB	gene	89
group_3911	gene	90
cdd	gene	91
group_3925	gene	92
group_3926	gene	93
cysS	gene	94
cysE	gene	95
metF	gene	96
crcB_1	gene	97
group_3944	gene	98
group_3948	gene	99
zwf	gene	100
group_3965	gene	101
ctpE	gene	102
group_3970	gene	103
group_3986	gene	104
group_3991	gene	105
gtaB	gene	106
yidA_2	gene	107
lacE_2	gene	108
adhB	gene	109
liaR	gene	110
group_4022	gene	111
iscU	gene	112
group_4045	gene	113
rluD_2	gene	114
ybbH	gene	115
rlmI	gene	116
pepF1_1	gene	117
aroL	gene	118
ydcV	gene	119
aldC	gene	120
group_4213	gene	121
nfr2	gene	122
pgdA	gene	123
lacF_1	gene	124
recG	gene	125
scrB	gene	126
group_4244	gene	127
ssb_2	gene	128
mshD_2	gene	129
endA	gene	130
group_4259	gene	131
gpmA_1	gene	132
group_4279	gene	133
group_4292	gene	134
purF	gene	135
folD	gene	136
glnQ_3	gene	137
gyrB	gene	138
group_4304	gene	139
glcK	gene	140
rplK	gene	141
femA	gene	142
htpX	gene	143
yidA_1	gene	144
glnP_1	gene	145
group_4330	gene	146
truB	gene	147
group_4333	gene	148
guaB_2	gene	149
albF	gene	150
mreC	gene	151
group_4341	gene	152
trmK	gene	153
group_4359	gene	154
truA	gene	155
murF_2	gene	156
dnaD	gene	157
group_4364	gene	158
murE	gene	159
gluP	gene	160
gpsA	gene	161
proB	gene	162
group_4380	gene	163
rnr	gene	164
tehB	gene	165
yecS_1	gene	166
gatA	gene	167
alsT	gene	168
recD2	gene	169
tig	gene	170
group_4405	gene	171
fruA	gene	172
lacC_1	gene	173
rplU	gene	174
ppc	gene	175
radA	gene	176
nadK	gene	177
recJ	gene	178
dnaG	gene	179
gmuD_1	gene	180
msrAB1	gene	181
aroB	gene	182
murB	gene	183
gabR	gene	184
group_4601	gene	185
ogt	gene	186
mvaA	gene	187
group_4628	gene	188
sttH	gene	189
gph_1	gene	190
ykuT	gene	191
group_4633	gene	192
group_4636	gene	193
exoA	gene	194
gsiC	gene	195
group_4658	gene	196
rsgA	gene	197
rpmH	gene	198
nrdG	gene	199
ruvA	gene	200
ribD_1	gene	201
group_4677	gene	202
mnmA	gene	203
agaS	gene	204
bga	gene	205
purC	gene	206
lcnD_1	gene	207
patA_2	gene	208
deoD_2	gene	209
group_4699	gene	210
cshB	gene	211
prfB	gene	212
livH_2	gene	213
pacS	gene	214
group_4713	gene	215
group_4714	gene	216
pyrF	gene	217
group_4717	gene	218
rnj2	gene	219
pnp	gene	220
paiA	gene	221
group_4731	gene	222
group_4737	gene	223
group_4738	gene	224
ybaN	gene	225
