Gene_1,Gene_name_1,Annotation_1,Gene_2,Gene_name_2,Annotation_2,p-value unadj,p-value adj,Cluster
Int-Tn,,Transposase from transposon Tn916,dnaC_2,,DNA replication protein DnaC,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3053,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_2872,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_776,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_1743,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_4159,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3470,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_484,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,ssb_3,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3771,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_5509,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3787,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3157,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3144,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_5384,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_4137,,hypothetical protein,0.0,0.0,272
Int-Tn,,Transposase from transposon Tn916,group_3768,,hypothetical protein,0.0,0.0,272
Int-Tn_3,,Transposase from transposon Tn916,group_4750,,hypothetical protein,0.0,0.0,284
Int-Tn_3,,Transposase from transposon Tn916,group_4899,,hypothetical protein,0.0,0.0,284
Int-Tn_3,,Transposase from transposon Tn916,group_3429,,hypothetical protein,0.0,0.0,284
Int-Tn_3,,Transposase from transposon Tn916,group_1990,,hypothetical protein,0.0,0.0,284
Int-Tn_3,,Transposase from transposon Tn916,group_3427,,hypothetical protein,0.0,0.0,284
Int-Tn_3,,Transposase from transposon Tn916,fic,,Adenosine monophosphate-protein transferase SoFic,0.0,0.0,284
acpP_2,,hypothetical protein,map_2,,hypothetical protein,0.0,0.0,-
agaSK_1,,Bifunctional alpha-galactosidase,group_4441,,hypothetical protein,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,sugB,,Trehalose transport system permease protein SugB,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_2805,znuA_1,High-affinity zinc uptake system binding-protein ZnuA,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_4402,,hypothetical protein,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,araP,,L-arabinose transport system permease protein AraP,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_2449,iga_2,Immunoglobulin A1 protease,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_4818,,hypothetical protein,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_4013,eabC,Blood-group-substance endo-14-beta-galactosidase,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,group_4009,hflK,Modulator of FtsH protease HflK,0.0,0.0,-
agaSK_1,,Bifunctional alpha-galactosidase,group_1268,rhaB,L-Rhamnulokinase,0.0,0.0,71
agaSK_1,,Bifunctional alpha-galactosidase,msmE_1,,Multiple sugar-binding protein,0.0,0.0,71
alaA,,Glutamate-pyruvate aminotransferase AlaA,group_764,,hypothetical protein,0.0,0.0,100
ald,,Alanine dehydrogenase,group_2619,ydaF_4,Putative ribosomal N-acetyltransferase YdaF,0.0,0.0,288
alsE,,D-allulose-6-phosphate 3-epimerase,manP,,PTS system mannose-specific EIIBCA component,0.0,0.0,71
alsE,,D-allulose-6-phosphate 3-epimerase,ptsN,,Nitrogen regulatory protein,0.0,0.0,71
alsE,,D-allulose-6-phosphate 3-epimerase,group_4884,,hypothetical protein,0.0,0.0,71
alsE,,D-allulose-6-phosphate 3-epimerase,mngA,,PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component,0.0,0.0,71
alsE,,D-allulose-6-phosphate 3-epimerase,group_1051,,hypothetical protein,0.0,0.0,71
araP,,L-arabinose transport system permease protein AraP,group_4441,,hypothetical protein,0.0,0.0,71
araP,,L-arabinose transport system permease protein AraP,sugB,,Trehalose transport system permease protein SugB,0.0,0.0,71
