Gene_1,Gene_name_1,Annotation_1,Gene_2,Gene_name_2,Annotation_2,p-value unadj,p-value adj,Cluster
1.008.O._Phag,,,1.011.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.062.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.040.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.044.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.043.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,2.092.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.102.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.080.O._Phag,,,0.0,0.0,239
1.008.O._Phag,,,1.125.O._Phag,,,0.0,0.0,239
1.040.O._Phag,,,1.011.O._Phag,,,0.0,0.0,239
1.040.O._Phag,,,1.062.O._Phag,,,0.0,0.0,239
1.043.O._Phag,,,1.011.O._Phag,,,0.0,0.0,239
1.043.O._Phag,,,1.062.O._Phag,,,0.0,0.0,239
1.043.O._Phag,,,1.040.O._Phag,,,0.0,0.0,239
1.043.O._Phag,,,1.044.O._Phag,,,0.0,0.0,239
1.044.O._Phag,,,1.011.O._Phag,,,0.0,0.0,239
1.044.O._Phag,,,1.062.O._Phag,,,0.0,0.0,239
1.044.O._Phag,,,1.040.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.011.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.062.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.040.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.044.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.043.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,2.092.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.102.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.125.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.008.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.095.O._Phag,,,0.0,0.0,239
1.048.O._Phag,,,1.069.O._Phag,,,0.0,0.0,239
