Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_003930515.1,GCA_003931435.1,GCA_003930435.1,GCA_003929835.1,GCA_003930755.1,GCA_003929915.1,GCA_003928915.1,GCA_003930675.1,GCA_003928255.1,GCA_003927535.1,GCA_003926535.1,GCA_003928375.1,GCA_003929375.1,GCA_003928295.1,GCA_003929295.1,GCA_003927415.1,GCF_003926515.1,GCA_003926775.1,GCA_003929135.1,GCA_003928135.1,GCA_003927655.1,GCA_003926655.1,GCA_003926435.1,GCA_003927435.1,GCA_003929355.1,GCA_003929395.1,GCA_003928395.1,GCA_003927515.1,GCA_003929275.1,GCA_003928275.1,GCA_003927675.1,GCA_003926675.1,GCA_003929115.1,GCA_003927795.1,GCA_003926795.1,GCA_003926755.1,GCA_003927755.1,GCA_003928035.1,GCA_003929035.1,GCA_003930415.1,GCA_003930535.1,GCF_003928835.1,GCA_003930655.1,GCA_003929935.1,GCA_003928935.1,GCA_003930775.1,GCA_003928815.1,GCA_003929815.1,GCA_003930695.1,GCA_003926715.1,GCA_003928195.1,GCA_003928075.1,GCA_003929075.1,GCA_003927635.1,GCA_003926635.1,GCA_003929155.1,GCA_003928155.1,GCA_003927555.1,GCA_003926555.1,GCA_003928235.1,GCA_003926475.1,GCA_003926595.1,GCA_003927595.1,GCF_003929175.1,GCA_003928315.1,GCA_003929315.1,GCF_003930555.1,GCA_003929855.1,GCA_003929895.1,GCA_003928895.1,GCA_003929975.1,GCA_003928975.1,GCA_003930575.1,GCA_003930495.1,GCF_003929875.1,GCA_003931455.1,GCA_003930455.1,GCA_003929955.1,GCA_003928955.1,GCA_003930635.1,GCA_003928875.1,GCA_003930715.1,GCA_003928995.1,GCA_003929995.1,GCA_003930595.1,GCA_003930475.1,GCA_003928175.1,GCA_003926615.1,GCA_003929095.1,GCA_003928055.1,GCA_003929055.1,GCA_003926735.1,GCA_003928335.1,GCA_003929335.1,GCA_003926455.1,GCA_003927455.1,GCA_003927495.1,GCA_003926495.1,GCA_003928215.1,GCA_003927575.1,GCA_003926575.1,GCA_003929635.1,GCA_003928635.1,GCA_003930955.1,GCA_003926155.1,GCA_003928715.1,GCA_003929715.1,GCA_003344105.1,GCA_003930995.1,GCA_003927195.1,GCF_003344285.1,GCA_003927075.1,GCA_003930875.1,GCA_003928475.1,GCA_003928595.1,GCA_003852975.1,GCA_003929595.1,GCA_003926315.1,GCA_003929555.1,GCA_003928555.1,GCA_003926235.1,GCA_003930175.1,GCA_003926975.1,GCA_003931175.1,GCA_003931055.1,GCA_003930055.1,GCA_003931335.1,GCA_003930335.1,GCA_003930215.1,GCA_003931215.1,GCA_003931075.1,GCA_003926875.1,GCA_003930075.1,GCA_003927875.1,GCA_003926995.1,GCA_003931195.1,GCA_003927995.1,GCA_003930195.1,GCA_003927955.1,GCA_003930155.1,GCA_003926955.1,GCA_003931155.1,GCF_003926855.1,GCA_003930235.1,GCA_003931315.1,GCA_003927055.1,GCA_003930855.1,GCA_003928735.1,GCA_003929735.1,GCA_003927175.1,GCA_003926175.1,GCA_003929615.1,GCA_003928615.1,GCA_003927095.1,GCA_003930895.1,GCA_003929495.1,GCA_003928495.1,GCA_003927215.1,GCA_003926215.1,GCA_003929575.1,GCF_003926195.1,GCA_003928575.1,GCA_003852955.1,GCA_003926335.1,GCA_003927335.1,GCA_003928455.1,GCA_003929455.1,GCA_003931355.1,GCA_003930275.1,GCA_003931275.1,GCA_003930395.1,GCA_003927915.1,GCA_003926915.1,GCF_003597575.1,GCA_003931035.1,GCA_003926835.1,GCA_003930035.1,GCA_003927835.1,GCF_003930255.1,GCA_003926375.1,GCA_003927375.1,GCA_003852915.1,GCA_003926295.1,GCA_003344205.1,GCA_003928415.1,GCA_003929415.1,GCA_003926255.1,GCA_003928535.1,GCA_003930935.1,GCA_003927135.1,GCA_003926135.1,GCF_003926355.1,GCA_003928655.1,GCA_003927015.1,GCA_003930815.1,GCA_003928695.1,GCA_003344165.1,GCA_003928775.1,GCA_003927395.1,GCA_003344305.1,GCA_003929515.1,GCA_003928515.1,GCA_003927275.1,GCA_003926275.1,GCA_003928435.1,GCA_003852935.1,GCA_003344145.1,GCF_003929535.1,GCA_003928755.1,GCA_003929755.1,GCA_003927035.1,GCF_003927295.1,GCA_003928675.1,GCA_003930915.1,GCA_003927115.1,GCA_003926115.1,GCA_003929795.1,GCA_003928795.1,GCA_003931255.1,GCA_003930295.1,GCA_003931375.1,GCF_003930115.1,GCA_003931015.1,GCA_003926815.1,GCA_003927815.1,GCA_003931135.1,GCF_003930355.1
group_1,,,,,,,,,,,,,,,,,,cds-AUR99768.1,,,,,,cds-AUR82703.1,,cds-AUR94558.1,,,,,,,,cds-AUR87663.1,cds-AUR83280.1,cds-AUR82219.1,cds-AUR86654.1,cds-AUR94470.1,,,,,,cds-AUR87757.1,,,,,,,,,cds-AUR98439.1,,,,,,cds-AUR99856.1,,,cds-AUR99513.1,,,,,,cds-AUR83186.1,,,,,,cds-AUR82406.1,,,,,,,,,,,,,,,,,,,,cds-AUR92332.1,cds-AUR99598.1,,,,,,,,,,,,cds-AUR94385.1,cds-AUR82314.1,cds-AUR86745.1,,,,cds-AUR87251.1,,,,cds-AUS00570.1,,,,,,,,,,,,,,,,,,,,,cds-AUS00992.1,,,,,,cds-AUS01077.1,cds-AUR83930.1,cds-AUR97066.1,,,,cds-AUR88766.1,,,,,cds-AUS01404.1,,,,,cds-AUS00197.1,,,,,,,,cds-AUS00360.1,cds-AUR95025.1,,,,,,,,,,,,,,,cds-AUR98342.1,,,,cds-AUS00907.1,,,,,,,,,,,,cds-AUR81656.1,,,,,,,,cds-AUS00027.1,cds-AUR91356.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00822.1,,,,
group_2,,,,,,,,,,,,,,,,,,cds-AUR99771.1,,,,,,cds-AUR82706.1,,cds-AUR94561.1,,,,,,,,cds-AUR87665.1,cds-AUR83282.1,cds-AUR82220.1,cds-AUR86656.1,cds-AUR94473.1,,,,,,cds-AUR87758.1,,,,,,,,,cds-AUR98442.1,,,,,,cds-AUR99859.1,,,cds-AUR99516.1,,,,,,cds-AUR83188.1,,,,,,cds-AUR82408.1,,,,,,,,,,,,,,,,,,,,cds-AUR92335.1,cds-AUR99601.1,,,,,,,,,,,,cds-AUR94388.1,cds-AUR82316.1,cds-AUR86747.1,,,,cds-AUR87253.1,,,,cds-AUS00573.1,,,,,,,,,,,,,,,,,,,,,cds-AUS00995.1,,,,,,cds-AUS01079.1,cds-AUR83933.1,cds-AUR97068.1,,,,cds-AUR88768.1,,,,,cds-AUS01406.1,,,,,cds-AUS00200.1,,,,,,,,cds-AUS00363.1,cds-AUR95028.1,,,,,,,,,,,,,,,cds-AUR98344.1,,,,cds-AUS00910.1,,,,,,,,,,,,cds-AUR81658.1,,,,,,,,cds-AUS00030.1,cds-AUR91358.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00825.1,,,,
group_3,,,,,,,,,,,,,,,,,,cds-AUR99773.1,,,,,,cds-AUR82708.1,,cds-AUR94563.1,,,,,,,,cds-AUR87667.1,cds-AUR83284.1,cds-AUR82225.1,cds-AUR86658.1,cds-AUR94475.1,,,,,,cds-AUR87760.1,,,,,,,,,cds-AUR98444.1,,,,,,cds-AUR99861.1,,,cds-AUR99518.1,,,,,,cds-AUR83190.1,,,,,,cds-AUR82410.1,,,,,,,,,,,,,,,,,,,,cds-AUR92337.1,cds-AUR99603.1,,,,,,,,,,,,cds-AUR94390.1,cds-AUR82320.1,cds-AUR86749.1,,,,cds-AUR87255.1,,,,cds-AUS00575.1,,,,,,,,,,,,,,,,,,,,,cds-AUS00997.1,,,,,,cds-AUS01081.1,cds-AUR83937.1,cds-AUR97070.1,,,,cds-AUR88770.1,,,,,cds-AUS01408.1,,,,,cds-AUS00202.1,,,,,,,,cds-AUS00365.1,cds-AUR95030.1,,,,,,,,,,,,,,,cds-AUR98345.1,,,,cds-AUS00912.1,,,,,,,,,,,,cds-AUR81660.1,,,,,,,,cds-AUS00032.1,cds-AUR91360.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00827.1,,,,
group_4,,,,,,,,,,,,,,,,,,cds-AUR99779.1,,,,,,cds-AUR82714.1,,cds-AUR94569.1,,,,,,,,cds-AUR87673.1,cds-AUR83290.1,cds-AUR82233.1,cds-AUR86665.1,cds-AUR94481.1,,,,,,cds-AUR87767.1,,,,,,,,,cds-AUR98451.1,,,,,,cds-AUR99867.1,,,cds-AUR99524.1,,,,,,cds-AUR83198.1,,,,,,cds-AUR82417.1,,,,,,,,,,,,,,,,,,,,cds-AUR92342.1,cds-AUR99609.1,,,,,,,,,,,,cds-AUR94396.1,cds-AUR82327.1,cds-AUR86754.1,,,,cds-AUR87260.1,,,,cds-AUS00581.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01003.1,,,,,,cds-AUS01087.1,cds-AUR83943.1,cds-AUR97075.1,,,,cds-AUR88775.1,,,,,cds-AUS01415.1,,,,,cds-AUS00208.1,,,,,,,,cds-AUS00371.1,cds-AUR95036.1,,,,,,,,,,,,,,,cds-AUR98352.1,,,,cds-AUS00918.1,,,,,,,,,,,,cds-AUR81665.1,,,,,,,,cds-AUS00038.1,cds-AUR91365.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00833.1,,,,
group_5,,,,,,,,,,,,,,,,,,cds-AUR99780.1,,,,,,cds-AUR82715.1,,cds-AUR94570.1,,,,,,,,cds-AUR87674.1,cds-AUR83291.1,cds-AUR82234.1,cds-AUR86667.1,cds-AUR94482.1,,,,,,cds-AUR87768.1,,,,,,,,,cds-AUR98452.1,,,,,,cds-AUR99868.1,,,cds-AUR99525.1,,,,,,cds-AUR83200.1,,,,,,cds-AUR82418.1,,,,,,,,,,,,,,,,,,,,cds-AUR92343.1,cds-AUR99610.1,,,,,,,,,,,,cds-AUR94397.1,cds-AUR82329.1,cds-AUR86755.1,,,,cds-AUR87261.1,,,,cds-AUS00582.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01004.1,,,,,,cds-AUS01088.1,cds-AUR83944.1,cds-AUR97076.1,,,,cds-AUR88776.1,,,,,cds-AUS01416.1,,,,,cds-AUS00209.1,,,,,,,,cds-AUS00372.1,cds-AUR95037.1,,,,,,,,,,,,,,,cds-AUR98354.1,,,,cds-AUS00919.1,,,,,,,,,,,,cds-AUR81666.1,,,,,,,,cds-AUS00039.1,cds-AUR91366.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00834.1,,,,
group_6,,,,,,,,,,,,,,,,,,cds-AUR99781.1,,,,,,cds-AUR82716.1,,cds-AUR94571.1,,,,,,,,cds-AUR87675.1,cds-AUR83293.1,cds-AUR82235.1,cds-AUR86669.1,cds-AUR94483.1,,,,,,cds-AUR87770.1,,,,,,,,,cds-AUR98453.1,,,,,,cds-AUR99869.1,,,cds-AUR99526.1,,,,,,cds-AUR83202.1,,,,,,cds-AUR82419.1,,,,,,,,,,,,,,,,,,,,cds-AUR92344.1,cds-AUR99611.1,,,,,,,,,,,,cds-AUR94398.1,cds-AUR82331.1,cds-AUR86757.1,,,,cds-AUR87263.1,,,,cds-AUS00583.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01005.1,,,,,,cds-AUS01089.1,cds-AUR83946.1,cds-AUR97078.1,,,,cds-AUR88778.1,,,,,cds-AUS01417.1,,,,,cds-AUS00210.1,,,,,,,,cds-AUS00373.1,cds-AUR95038.1,,,,,,,,,,,,,,,cds-AUR98356.1,,,,cds-AUS00920.1,,,,,,,,,,,,cds-AUR81668.1,,,,,,,,cds-AUS00040.1,cds-AUR91368.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00835.1,,,,
group_7,,,,,,,,,,,,,,,,,,cds-AUR99784.1,,,,,,cds-AUR82719.1,,cds-AUR94574.1,,,,,,,,cds-AUR87678.1,cds-AUR83296.1,cds-AUR82238.1,cds-AUR86671.1,cds-AUR94486.1,,,,,,cds-AUR87772.1,,,,,,,,,cds-AUR98456.1,,,,,,cds-AUR99872.1,,,cds-AUR99529.1,,,,,,cds-AUR83205.1,,,,,,cds-AUR82421.1,,,,,,,,,,,,,,,,,,,,cds-AUR92347.1,cds-AUR99614.1,,,,,,,,,,,,cds-AUR94401.1,cds-AUR82334.1,cds-AUR86759.1,,,,cds-AUR87265.1,,,,cds-AUS00586.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01008.1,,,,,,cds-AUS01092.1,cds-AUR83949.1,cds-AUR97080.1,,,,cds-AUR88780.1,,,,,cds-AUS01420.1,,,,,cds-AUS00213.1,,,,,,,,cds-AUS00376.1,cds-AUR95041.1,,,,,,,,,,,,,,,cds-AUR98358.1,,,,cds-AUS00923.1,,,,,,,,,,,,cds-AUR81670.1,,,,,,,,cds-AUS00043.1,cds-AUR91370.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00838.1,,,,
group_8,,,,,,,,,,,,,,,,,,cds-AUR99788.1,,,,,,cds-AUR82723.1,,cds-AUR94578.1,,,,,,,,cds-AUR87681.1,cds-AUR83299.1,cds-AUR82242.1,cds-AUR86675.1,cds-AUR94490.1,,,,,,cds-AUR87775.1,,,,,,,,,cds-AUR98459.1,,,,,,cds-AUR99876.1,,,cds-AUR99533.1,,,,,,cds-AUR83208.1,,,,,,cds-AUR82424.1,,,,,,,,,,,,,,,,,,,,cds-AUR92352.1,cds-AUR99618.1,,,,,,,,,,,,cds-AUR94405.1,cds-AUR82337.1,cds-AUR86762.1,,,,cds-AUR87268.1,,,,cds-AUS00590.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01012.1,,,,,,cds-AUS01096.1,cds-AUR83952.1,cds-AUR97083.1,,,,cds-AUR88784.1,,,,,cds-AUS01423.1,,,,,cds-AUS00217.1,,,,,,,,cds-AUS00380.1,cds-AUR95045.1,,,,,,,,,,,,,,,cds-AUR98361.1,,,,cds-AUS00927.1,,,,,,,,,,,,cds-AUR81673.1,,,,,,,,cds-AUS00047.1,cds-AUR91375.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00842.1,,,,
group_9,,,,,,,,,,,,,,,,,,cds-AUR99791.1,,,,,,cds-AUR82726.1,,cds-AUR94581.1,,,,,,,,cds-AUR87685.1,cds-AUR83303.1,cds-AUR82246.1,cds-AUR86678.1,cds-AUR94493.1,,,,,,cds-AUR87778.1,,,,,,,,,cds-AUR98463.1,,,,,,cds-AUR99879.1,,,cds-AUR99536.1,,,,,,cds-AUR83213.1,,,,,,cds-AUR82428.1,,,,,,,,,,,,,,,,,,,,cds-AUR92355.1,cds-AUR99621.1,,,,,,,,,,,,cds-AUR94408.1,cds-AUR82342.1,cds-AUR86767.1,,,,cds-AUR87273.1,,,,cds-AUS00593.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01015.1,,,,,,cds-AUS01099.1,cds-AUR83956.1,cds-AUR97088.1,,,,cds-AUR88790.1,,,,,cds-AUS01427.1,,,,,cds-AUS00220.1,,,,,,,,cds-AUS00383.1,cds-AUR95048.1,,,,,,,,,,,,,,,cds-AUR98364.1,,,,cds-AUS00930.1,,,,,,,,,,,,cds-AUR81678.1,,,,,,,,cds-AUS00050.1,cds-AUR91380.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00845.1,,,,
group_10,,,,,,,,,,,,,,,,,,cds-AUR99792.1,,,,,,cds-AUR82727.1,,cds-AUR94582.1,,,,,,,,cds-AUR87686.1,cds-AUR83304.1,cds-AUR82247.1,cds-AUR86679.1,cds-AUR94494.1,,,,,,cds-AUR87779.1,,,,,,,,,cds-AUR98464.1,,,,,,cds-AUR99880.1,,,cds-AUR99537.1,,,,,,cds-AUR83214.1,,,,,,cds-AUR82429.1,,,,,,,,,,,,,,,,,,,,cds-AUR92356.1,cds-AUR99622.1,,,,,,,,,,,,cds-AUR94409.1,cds-AUR82343.1,cds-AUR86768.1,,,,cds-AUR87274.1,,,,cds-AUS00594.1,,,,,,,,,,,,,,,,,,,,,cds-AUS01016.1,,,,,,cds-AUS01100.1,cds-AUR83957.1,cds-AUR97089.1,,,,cds-AUR88791.1,,,,,cds-AUS01428.1,,,,,cds-AUS00221.1,,,,,,,,cds-AUS00384.1,cds-AUR95049.1,,,,,,,,,,,,,,,cds-AUR98365.1,,,,cds-AUS00931.1,,,,,,,,,,,,cds-AUR81679.1,,,,,,,,cds-AUS00051.1,cds-AUR91381.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-AUS00846.1,,,,
