Cluster,Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_000152765.1,GCA_000256385.2,GCA_002872535.2,GCA_002872545.1,GCA_002872555.1,GCA_002872565.1,GCA_002872615.1,GCA_002872625.1,GCA_002872635.1,GCA_002872645.1,GCA_002872695.1,GCA_002872705.1,GCA_002872735.1,GCA_002872755.1,GCA_002872765.1,GCA_002872775.1,GCA_002872835.1,GCA_002872855.1,GCA_002872865.1,GCA_002872895.1,GCA_002872905.1,GCA_002872925.1,GCA_002872955.1,GCA_002873045.1,GCA_002873075.1,GCA_002873095.1,GCA_002873115.1,GCA_002873185.1,GCA_002873195.1,GCA_002873265.1,GCA_002873285.1,GCA_002873335.1,GCA_002873345.1,GCA_002873395.1,GCA_002873405.1,GCA_002873435.1,GCA_002873455.1,GCA_002873485.1,GCA_002873515.1,GCA_002873525.1,GCA_002873555.1,GCA_002873565.1,GCA_002873595.1,GCA_002873645.1,GCA_002873675.1,GCA_002873695.1,GCA_002873715.1,GCA_002873735.1,GCA_002873745.1,GCA_002873755.2,GCA_002873795.2,GCA_002873815.1,GCA_002873825.1,GCA_002873855.2,GCA_002873875.2,GCA_002873895.2,GCA_002873905.1,GCA_002873935.1,GCA_002873955.2,GCA_002873965.1,GCA_002873995.1,GCA_002874015.1,GCA_002874035.1,GCA_002874055.1,GCA_002874075.1,GCA_002874085.1,GCA_002874115.1,GCA_002874135.1,GCA_002874155.1,GCA_002874165.1,GCA_002874195.1,GCA_002874205.1,GCA_002874235.1,GCA_002874245.1,GCA_002874275.1,GCA_002874295.1,GCA_002874305.1,GCA_002874335.1,GCA_002874415.1,GCA_002874435.1,GCA_002874445.1,GCA_002874475.1,GCA_002874485.1,GCA_002874515.1,GCA_002874555.1,GCA_002874595.1,GCA_002874615.1,GCA_002874645.1,GCA_002874655.2,GCA_002874685.2,GCA_002874695.2,GCA_002874725.1,GCA_002874745.1,GCA_002874765.1,GCA_002874785.2,GCA_002874845.1,GCA_002874865.2,GCA_002874875.2,GCA_002874905.1,GCA_002874925.1,GCA_002874945.1,GCA_002874975.1,GCA_002875005.1,GCA_002875015.1,GCA_002875045.1,GCA_002875065.1,GCA_002875085.1,GCA_002875095.1,GCA_002875125.1,GCA_002875145.1,GCA_002875165.1,GCA_002875185.1,GCA_002875195.1,GCA_002875225.1,GCA_002875235.1,GCA_002875245.1,GCA_002875285.1,GCA_002875305.1,GCA_002875315.1,GCA_002875345.1,GCA_002875355.1,GCA_002875385.1,GCA_002875395.1,GCA_002875425.1,GCA_002875445.1,GCA_002875465.1,GCA_002875485.1,GCA_002875495.1,GCA_002875525.1,GCA_002875555.1,GCA_002875585.1,GCA_002875605.1,GCA_002875625.1,GCA_002875665.1,GCA_002875685.1,GCA_002875705.1,GCA_002875715.1,GCA_002875745.1,GCA_002875785.1,GCA_002875805.1,GCA_002875825.1,GCA_002875845.1,GCA_002875865.2,GCA_002875885.1,GCA_002875905.1,GCA_002875915.1,GCA_002875945.1,GCA_002875965.1,GCA_002875985.1,GCA_002875995.1,GCA_002876025.1,GCA_002876045.1,GCA_002876065.1,GCA_002876085.1,GCA_002876105.1,GCA_002876115.1,GCA_002876125.1,GCA_002876165.1,GCA_002876185.1,GCA_002876195.1,GCA_002876225.1,GCA_002876245.1,GCA_002876255.1,GCA_002876285.1,GCA_002876295.1,GCA_002876325.1,GCA_002876365.1,GCA_002876375.1,GCA_002876405.1,GCA_002876415.1,GCA_002876425.1,GCA_002876465.1,GCA_002876485.1,GCA_002876495.1,GCA_002876525.1,GCA_002876535.1,GCA_002876565.1,GCA_002876575.1,GCA_002876585.1,GCA_002876625.1,GCA_002876665.1,GCA_002876675.1,GCA_002876715.1,GCA_002876745.1,GCA_002876765.1,GCA_002876795.1,GCA_002876845.1,GCA_002876855.1,GCA_002876865.1,GCA_002876915.1,GCA_002876945.2,GCA_002876965.1,GCA_002876975.1,GCA_002877005.2,GCA_002877045.1,GCA_002877065.2,GCA_002877085.1,GCA_002877105.1,GCA_002877115.1,GCA_002877145.1,GCA_002877185.1,GCA_002877195.1,GCA_002877235.1,GCA_002877285.1,GCA_002877305.1,GCA_002877315.1,GCA_002877345.1,GCA_002877365.1,GCA_002877375.1,GCA_002877405.1,GCA_002877415.1,GCA_002877445.1,GCA_002877465.1,GCA_002877485.1,GCA_002877525.1,GCA_002877535.1,GCA_002877545.1,GCA_002877605.2,GCA_002877625.1,GCA_002877645.1,GCA_002877655.1,GCA_002877685.1,GCA_002877705.1,GCA_002877725.1,GCA_002877735.1,GCA_002877745.1,GCA_002878515.1,GCA_002878535.1,GCA_002878555.1,GCA_002878565.1,GCA_002878595.1,GCA_002878605.2,GCA_002878635.1,GCA_020539545.1,GCA_020539555.1,GCA_020806125.1,GCA_020806205.1,GCA_020806225.1,GCA_020806245.1,GCA_020806255.1,GCA_020806295.1,GCA_020806305.1,GCA_020806365.1,GCA_020806385.1
43,group_5512,,DUF3187 family protein;hypothetical protein,143,144,1.006993006993007,1,5754,,,,177,984,965.1818181818181,cds-EAP93411.1;cds-EAP93412.1,cds-OEE19758.1,cds-MCC5483798.1,,,cds-PME24913.1,,cds-PME48678.1,cds-PME12232.1,cds-PME13903.1,cds-PME42438.1,cds-PME43638.1,cds-PMJ36011.1,,,cds-PMJ33368.1,,,,cds-PMI77939.1,cds-PMI77192.1,,,,cds-PMI17331.1,cds-PMI08729.1,,,,cds-PMH62337.1,cds-PMH45494.1,,cds-PMH49389.1,,cds-PMH21505.1,,cds-PMH04083.1,,,,,cds-PMG52671.1,,43_refound_986,,cds-PMG20028.1,,cds-PMG12766.1,cds-PMG16147.1,cds-MCC5513777.1,cds-MCC5526998.1,cds-PMF61303.1,cds-PMF64071.1,cds-MCC5524176.1,cds-MCC5557526.1,cds-MCC5543656.1,cds-PMF27474.1,,cds-MCC5547865.1,cds-PME92142.1,,cds-PME73959.1,cds-PME72247.1,,,cds-PME66388.1,cds-PMJ10340.1,,cds-PMJ09418.1,cds-PMI97187.1,,cds-PMI67824.1,cds-PMI61811.1,cds-PMI48904.1,cds-PMI43825.1,,cds-PMH96919.1,cds-PMI29432.1,,cds-PMH30832.1,cds-PMH11651.1,,cds-PMG74396.1,cds-PMG44269.1,cds-PMG22976.1,cds-PMG38044.1,cds-PMG43672.1,,cds-MCC5573441.1,cds-MCC5563531.1,cds-MCC5509636.1,,cds-PMF72728.1,cds-PMF40059.1,cds-MCC5553474.1,cds-PMF20659.1,cds-MCC5502874.1,cds-MCC5499479.1,cds-PMF16856.1,cds-PMF01108.1,cds-PME95779.1,cds-PME82356.1,cds-PMP53653.1,cds-PMP56915.1,cds-PMP40010.1,cds-PMP49320.1,cds-PMP27967.1,cds-PMP33504.1,cds-PMP21070.1,cds-PMP18685.1,,,,cds-PMO94536.1,,,,cds-PMO71862.1,,,,,cds-PMO45518.1,,,cds-PMO11803.1,,,,,cds-PMN83754.1,,cds-PMN63311.1,cds-PMN66094.1,,,cds-PMN38748.1,cds-PMN27579.1,cds-PMN17235.1,cds-PMN00352.1,cds-PMN13583.1,cds-PMN02325.1,cds-MCC5488148.1,,,,cds-PMM71908.1,cds-PMM61474.1,,cds-PMM56432.1,cds-PMM60441.1,,cds-PMM33754.1,cds-PMM28942.1,cds-PMM23115.1,,,,,,cds-PML53624.1,,cds-PML49564.1,cds-PML31042.1,,cds-PML27799.1,cds-PML06503.1,,cds-PMK88540.1,cds-PMK90600.1,cds-PML01163.1,cds-PMP32120.1,,,cds-PMP31442.1,,cds-PMO39172.1,,,,,,,cds-PMN26681.1,,cds-PMN44544.1,cds-PMM50449.1,,,,,,,cds-MCC5531621.1,,cds-MCC5567426.1,,,cds-PML26824.1,,,cds-PMK55058.1,cds-PMK34377.1,,,cds-PMK07579.1,cds-PMK17330.1,,cds-PMK04604.1,cds-PMJ96144.1,cds-PMJ81353.1,cds-PMJ90403.1,cds-PMJ78904.1,cds-PMJ59780.1,cds-PMJ55914.1,cds-PMJ52729.1,,cds-MCC5492189.1,cds-PMK85264.1,cds-PMK68918.1,,,cds-PMK20371.1,cds-PMK48025.1,,cds-PMJ39495.1,cds-PMG60338.1,,cds-PMH70332.1,,cds-PMJ62296.1,cds-MCC5535947.1,,cds-MCB5358887.1,cds-MCB5461238.1,cds-MCC4774504.1,cds-MCC4835104.1,,,cds-MCC4841813.1,cds-LMH72_19965,,cds-MCC4815079.1,cds-MCC4785893.1
43,group_12076,,transposase;IS110 family transposase;Transposase,89,90,1.0112359550561798,1,12627,,,,165,1026,936.1348314606741,cds-EAP95913.1,cds-OEE11244.1,,,,,,cds-PME53520.1,,cds-PME14233.1,cds-PME53391.1,cds-PME43083.1,cds-PMJ33273.1,cds-PME16092.1,cds-PMJ25172.1,,,,,,cds-PMI84319.1,,,,,,,,,cds-PMH61606.1,cds-PMH50411.1,,cds-PMH56188.1,,cds-BCU73_13155,,,,,,,cds-PMG64091.1,cds-PMG79269.1,,,,,,cds-PMG08562.1,,,cds-BCV12_20380,,,,,,cds-PMF37711.1,,,,cds-PME72330.1,,,,cds-PME60644.1,cds-PMJ07583.1,,,cds-PMI94944.1,,cds-PMI69605.1,cds-PMI63458.1,,cds-BCU45_24470,,,,,cds-PMH25064.1,cds-PMH12002.1,,cds-PMG68569.1,cds-PMG44789.1,cds-PMG18838.1,cds-PMG32935.1,cds-PMG36746.1,,,,,,,,,,,,,,cds-PMF23295.1,cds-PME83899.1,cds-PMP54906.1,cds-PMP50690.1,cds-BCS86_24155,cds-PMP44660.1,cds-PMP33343.1,cds-PMP37877.1,cds-PMP22403.1,,,,,cds-PMO97451.1,,,,,,cds-PMO49574.1,,,cds-PMO38891.1,,,,cds-PMO19917.1,cds-PMO02532.1;cds-PMO02533.1,cds-PMO11659.1,cds-PMN82731.1,,cds-PMN79372.1,,cds-PMN69366.1,cds-PMN58763.1,cds-PMN43129.1,,,cds-PMN09218.1,cds-PMN00255.1,cds-PMN11454.1,cds-PMN05823.1,,cds-PMM80933.1,cds-PMM70867.1,,cds-PMM76438.1,,,cds-PMM60594.1,,,,cds-PMM25721.1,cds-PMM29878.1,,,,,,cds-PML54110.1,cds-PML42629.1,cds-BCT75_17690,,,,,,cds-PMK93062.1,cds-PMK87169.1,cds-PMK98022.1,cds-PMP33287.1,,,cds-PMP28886.1,,,,,,,cds-PMO09896.1,,183_refound_3320,,cds-PMN46019.1,cds-PMM51620.1,,,cds-PML88359.1,cds-MCC5516922.1,,,,,,,,cds-PML27175.1,,,cds-PMK51968.1,,,,cds-PMK14451.1,,,,cds-PMJ92297.1,,,,,,,,,cds-PMK85146.1,cds-PMK64083.1,,,,,,cds-PMJ46686.1,cds-PMG57292.1,,,,,,,,,cds-MCC4774214.1,,,,cds-MCC4841523.1,,cds-MCC4890535.1,cds-MCC4818486.1,
43,group_10811,,hypothetical protein,46,46,1.0,1,11300,,,,198,207,198.7826086956522,cds-EAP96387.1,,,,,,,,,,,,,,cds-PMJ22026.1,cds-PMJ30476.1,,,,cds-PMI73028.1,cds-PMI84367.1,,,,,,,,,,,,,,,,cds-PMH03019.1,cds-PMH20332.1,,,,cds-PMG59836.1,,cds-PMG56191.1,,cds-PMG20583.1,,cds-PMG12898.1,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMI53440.1,,,,cds-PMI25397.1,,,,,,,,cds-PMG33370.1,,,,,,,,,,,,,,,,,cds-PMP57099.1,,cds-PMP43888.1,cds-PMP53388.1,cds-PMP25227.1,cds-PMP33609.1,,,,,,cds-PMO96340.1,,,,cds-PMO72739.1,,cds-PMO57618.1,,,cds-PMO39874.1,,,,,cds-PMO05250.1,,cds-PMN83160.1,cds-PMN82226.1,cds-PMN83682.1,,,cds-PMN55690.1,cds-PMN30999.1,,,,,,,,cds-PMM80668.1,cds-PMM72109.1,,,,,,,cds-PMM35070.1,,,,,,,,,,cds-PML44785.1,,,,,,,,,,cds-PMP34060.1,,,,,cds-PMO47151.1,,,,,,,cds-PMN27026.1,,,,,,cds-PML90673.1,cds-MCC5518971.1,,,,,,,,,,,cds-PMK58562.1,,,,cds-PMK08659.1,cds-PMJ93790.1,,,,,,,,,,,,,,,,,,,,,,cds-PMH69777.1,,cds-PMJ70215.1,,,,,,,,cds-MCC4878760.1,,cds-MCC4787616.1,cds-MCC4890975.1,,
43,1.215.A._Phag,,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,x,,,x,,
305,1.011.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,,,,,,,x,,,,,,x,,x,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x
305,1.062.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,x,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
305,1.040.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
305,1.044.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,x,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
305,1.043.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,,x,x,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
305,2.092.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
